dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
PCA (n_components=50),Gradient Boosting,50,3,0.1,1.054696288442237,0.791988884647676,0.5682624597019712,0.7636339671364091,0.8454545454545455
PCA (n_components=50),Gradient Boosting,50,5,0.05,1.0794009794171844,0.8606309558739856,0.5477999634386067,0.7489473662988042,0.8363636363636363
PCA (n_components=50),Gradient Boosting,50,5,0.1,1.0660748597027698,0.8073826173002535,0.5588966243734799,0.7471692715433079,0.8545454545454545
PCA (n_components=50),Gradient Boosting,100,2,0.05,1.0442682427546455,0.8366691450741331,0.5767576478639631,0.7894278871609447,0.8545454545454545
PCA (n_components=50),Gradient Boosting,100,2,0.1,1.0068625894411518,0.7917026057278311,0.6065356519247078,0.7987571115923793,0.8727272727272727
PCA (n_components=50),Gradient Boosting,100,3,0.05,1.0121736268931016,0.7737148307740004,0.6023737824982993,0.7858439870823342,0.8545454545454545
PCA (n_components=50),Gradient Boosting,100,3,0.1,1.0452344287179056,0.7700223515904172,0.5759740944051617,0.7724320723551629,0.8545454545454545
PCA (n_components=50),Gradient Boosting,100,5,0.05,1.0690519800226732,0.8138475480808026,0.5564295340812223,0.7503883158149466,0.8454545454545455
PCA (n_components=50),Gradient Boosting,100,5,0.1,1.0842736185501376,0.8187179052347574,0.5437080996088628,0.7358725968109867,0.8636363636363636
PCA (n_components=50),Gradient Boosting,200,2,0.05,1.0017433405909524,0.78991125240537,0.6105265070226558,0.801860695165609,0.8818181818181818
PCA (n_components=50),Gradient Boosting,200,2,0.1,0.9923238311891659,0.7832342380623954,0.6178165996296534,0.7990480725523695,0.9
PCA (n_components=50),Gradient Boosting,200,3,0.05,1.0006713596377206,0.7648461103953114,0.611359624166334,0.7887212676866826,0.8727272727272727
PCA (n_components=50),Gradient Boosting,200,3,0.1,1.068265395979903,0.7792411700890928,0.5570820319924943,0.7559766136179346,0.8636363636363636
PCA (n_components=50),Gradient Boosting,200,5,0.05,1.0734538768848483,0.8054614852784234,0.5527691483137914,0.7497140253362389,0.8454545454545455
PCA (n_components=50),Gradient Boosting,200,5,0.1,1.0889252570714383,0.822674297243862,0.5397846289643962,0.7324780522777667,0.8545454545454545
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,50,2,0.05,1.2936330256227149,1.050735407187587,0.35048801962151854,0.6057931085136657,0.7272727272727273
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,50,2,0.1,1.2916710035166172,1.034790597111154,0.35245672395303884,0.5995273672739516,0.7181818181818181
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,50,3,0.05,1.2857524312517838,1.0347426338385353,0.3583773510044437,0.6155163647896083,0.7363636363636363
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,50,3,0.1,1.2860896143994325,1.034613171767501,0.35804078121569227,0.6045429800128318,0.7272727272727273
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,50,5,0.05,1.2797721389238017,1.0327684655510558,0.3643321015029579,0.6063441669080099,0.7818181818181819
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,50,5,0.1,1.3428856728764103,1.0569468982126513,0.30008861438149803,0.5565621321820529,0.7545454545454545
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,100,2,0.05,1.299211524805286,1.0385469731534211,0.3448741951224916,0.586240150101062,0.7272727272727273
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,100,2,0.1,1.2989713818195838,1.0425655702808578,0.34511635634738347,0.5971765874543475,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,100,3,0.05,1.2862972028315274,1.030012409513342,0.3578335265092456,0.6101312778158198,0.7545454545454545
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,100,3,0.1,1.290374982325523,1.0271253176936193,0.3537555202835423,0.5913666051104146,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,100,5,0.05,1.2749269269528662,1.0100083766543013,0.3691362620047248,0.6035638732903248,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,100,5,0.1,1.3629117696038706,1.065215335965198,0.27905777681968424,0.543339573000272,0.7636363636363637
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,200,2,0.05,1.3107405754982326,1.057567212896758,0.33319558760857715,0.5835106591906769,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,200,2,0.1,1.3194621952714634,1.0556961809962753,0.32429228042461733,0.5853210829417276,0.7545454545454545
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,200,3,0.05,1.2908300495049572,1.018365348620477,0.3532996272090666,0.6084732621866689,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,200,3,0.1,1.3096766316480963,1.025091274659369,0.3342776545493409,0.5805456284555377,0.7545454545454545
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,200,5,0.05,1.2969702096247373,1.022057406414007,0.3471326062254996,0.594844281346489,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Gradient Boosting,200,5,0.1,1.3688396785384496,1.0673277316364078,0.27277274207566493,0.5390398165915267,0.7636363636363637
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,50,2,0.05,1.3494268638831126,1.142948328781667,0.2932534764649125,0.5727728142386544,0.6818181818181818
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,50,2,0.1,1.296934982273429,1.0871671312600102,0.34716807115218706,0.5864387425023251,0.7545454545454545
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,50,3,0.05,1.258435290656332,1.0646326225869347,0.38535160035577454,0.6319949156665184,0.7454545454545455
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,50,3,0.1,1.1722774200578485,0.9524991601329053,0.466633447848102,0.682659070128319,0.8
"Ridge->PCA (top-100, 95%var)",Gradient Boosting,50,5,0.05,1.2477806243299248,1.0150208525897626,0.39571550275585576,0.6160197734346708,0.7818181818181819
