dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.406972520350328,1.1684187432942599,0.23169049128966057,0.6799757634972974,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.393064672382795,1.1523004253243347,0.2468048147473728,0.697073183717679,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.1994889680925749,0.9603731335332713,0.4415844626197377,0.6891156323833415,0.7727272727272727
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.184965972440985,0.9305640615911306,0.4550248041538232,0.6968699728884794,0.7636363636363637
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.2637190369648303,0.9895659736528402,0.38017936126871477,0.6311035590748022,0.7636363636363637
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.253869390604954,0.9686756845617767,0.38980368779759855,0.6450327377308449,0.7909090909090909
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.3512241559629707,1.1229367136144153,0.2913696013645145,0.7304089965622803,0.6636363636363637
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.3512241559629707,1.1229367136144153,0.2913696013645145,0.7304089965622803,0.6636363636363637
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.1145091068507003,0.9148593351184019,0.5179054514381878,0.7069566195014759,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.1145091068507003,0.9148593351184019,0.5179054514381878,0.7069566195014759,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.206709428925886,0.9716018288652984,0.4348413358067259,0.6528286440874101,0.8
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.206709428925886,0.9716018288652984,0.4348413358067259,0.6528286440874101,0.8
PCA (n_components=50),SVR (rbf),0.1,scale,1.454590994358729,1.2054404771529188,0.1788041112868507,0.7050676824755073,0.6
PCA (n_components=50),SVR (rbf),0.1,auto,1.454590994358729,1.2054404771529188,0.1788041112868507,0.7050676824755073,0.6
PCA (n_components=50),SVR (rbf),1.0,scale,1.051344520166383,0.8189896050380141,0.5710021769625683,0.7634584668748277,0.8636363636363636
PCA (n_components=50),SVR (rbf),1.0,auto,1.051344520166383,0.8189896050380141,0.5710021769625683,0.7634584668748277,0.8636363636363636
PCA (n_components=50),SVR (rbf),10.0,scale,1.0592619361789557,0.7753929653155363,0.5645164941559264,0.743566897752952,0.8818181818181818
PCA (n_components=50),SVR (rbf),10.0,auto,1.0592619361789557,0.7753929653155363,0.5645164941559264,0.743566897752952,0.8818181818181818
"Lasso->PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.3740094690669322,1.117992728762639,0.2672692309746063,0.6303553737491128,0.6454545454545455
"Lasso->PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.3740094690669322,1.117992728762639,0.2672692309746063,0.6303553737491128,0.6454545454545455
"Lasso->PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.2905662148119987,1.0265976370567982,0.35356396031397697,0.6278983700869726,0.7454545454545455
"Lasso->PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.2905662148119987,1.0265976370567982,0.35356396031397697,0.6278983700869726,0.7454545454545455
"Lasso->PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.3387689866127928,1.0386756768180276,0.30437326680310006,0.5764998855832919,0.7636363636363637
"Lasso->PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.3387689866127928,1.0386756768180276,0.30437326680310006,0.5764998855832919,0.7636363636363637
"Ridge->PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.4889124465754178,1.252906354219369,0.13959426128550567,0.6070415495263991,0.5909090909090909
"Ridge->PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.4889124465754178,1.252906354219369,0.13959426128550567,0.6070415495263991,0.5909090909090909
"Ridge->PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.2467036067574804,1.0384248481657543,0.3967582247390451,0.6164677609444972,0.7818181818181819
"Ridge->PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.2467036067574804,1.0384248481657543,0.3967582247390451,0.6164677609444972,0.7818181818181819
"Ridge->PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.2378956548524622,1.010402102001615,0.40525191195594257,0.6240927854674171,0.8181818181818182
"Ridge->PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.2378956548524622,1.010402102001615,0.40525191195594257,0.6240927854674171,0.8181818181818182
"ElasticNet (top-200, l1r=0.5)",SVR (rbf),0.1,scale,1.3400415225073845,1.1226650949297512,0.3030502145005357,0.7357478992567051,0.6272727272727273
"ElasticNet (top-200, l1r=0.5)",SVR (rbf),0.1,auto,1.3155399006730457,1.096779680755207,0.32830358974273655,0.7428279492831356,0.6363636363636364
"ElasticNet (top-200, l1r=0.5)",SVR (rbf),1.0,scale,1.1120415057625035,0.8716891131828141,0.5200378702361983,0.7260168715948078,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",SVR (rbf),1.0,auto,1.0826738781878147,0.8403227210871093,0.5450535350662709,0.7431604760945529,0.8454545454545455
"ElasticNet (top-200, l1r=0.5)",SVR (rbf),10.0,scale,1.1300091212342713,0.89938551288142,0.5044027639761655,0.7089656356537898,0.8090909090909091
"ElasticNet (top-200, l1r=0.5)",SVR (rbf),10.0,auto,1.1204369595084365,0.8799320489521895,0.5127634827811982,0.7106744539902408,0.8272727272727273
"ElasticNet->PCA (top-200, 95%var)",SVR (rbf),0.1,scale,1.321445865311461,1.084452151965166,0.3222590448781133,0.7106375065667498,0.7
"ElasticNet->PCA (top-200, 95%var)",SVR (rbf),0.1,auto,1.321445865311461,1.084452151965166,0.3222590448781133,0.7106375065667498,0.7
"ElasticNet->PCA (top-200, 95%var)",SVR (rbf),1.0,scale,1.1581863732147175,0.8796600445074247,0.4793787635131783,0.6774171544205575,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var)",SVR (rbf),1.0,auto,1.1581863732147175,0.8796600445074247,0.4793787635131783,0.6774171544205575,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var)",SVR (rbf),10.0,scale,1.2868783497802687,0.9704531197747345,0.3572531359279072,0.602704845694163,0.8
"ElasticNet->PCA (top-200, 95%var)",SVR (rbf),10.0,auto,1.2868783497802687,0.9704531197747345,0.3572531359279072,0.602704845694163,0.8
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.4706644360935837,1.2180185894757694,0.1736230385725931,0.5557890595302937,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.4506841137418478,1.1996791892196028,0.19592468299782295,0.5639546305251101,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.408646434988077,1.13509972361866,0.24185020608368168,0.5599617539121733,0.6818181818181818
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.3733229122345672,1.0998847841715402,0.27939652539240156,0.5854036628615785,0.6727272727272727
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.500375788876221,1.22826103597058,0.1398957073183269,0.4193995871431321,0.6818181818181818
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.4805785264920275,1.1983933214706632,0.1624438866202731,0.44549621719997046,0.6727272727272727
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.387679382279913,1.1414344625120416,0.2642516586296504,0.6483537141276589,0.6272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.387679382279913,1.1414344625120416,0.2642516586296504,0.6483537141276589,0.6272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.1314389868802224,0.8941323677248694,0.5108823900188265,0.7211061391571378,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.1314389868802224,0.8941323677248694,0.5108823900188265,0.7211061391571378,0.8272727272727273
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.1780319182876078,0.9306364102230066,0.46976897514594673,0.6774749712723568,0.8
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.1780319182876078,0.9306364102230066,0.46976897514594673,0.6774749712723568,0.8
PCA (n_components=50),SVR (rbf),0.1,scale,1.495237012396778,1.2346857681587793,0.1457773200537107,0.6472748075140016,0.6090909090909091
PCA (n_components=50),SVR (rbf),0.1,auto,1.495237012396778,1.2346857681587793,0.1457773200537107,0.6472748075140016,0.6090909090909091
PCA (n_components=50),SVR (rbf),1.0,scale,1.1943208482297167,0.939277705571821,0.45500433575277344,0.6833628505272301,0.8090909090909091
PCA (n_components=50),SVR (rbf),1.0,auto,1.1943208482297167,0.939277705571821,0.45500433575277344,0.6833628505272301,0.8090909090909091
PCA (n_components=50),SVR (rbf),10.0,scale,1.222138416725309,0.9399272071536847,0.42932110434198334,0.6492389708363007,0.7909090909090909
PCA (n_components=50),SVR (rbf),10.0,auto,1.222138416725309,0.9399272071536847,0.42932110434198334,0.6492389708363007,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.4643270480744652,1.1792474150301888,0.18072974154403443,0.4832256736938058,0.6454545454545455
"Lasso->PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.4643270480744652,1.1792474150301888,0.18072974154403443,0.4832256736938058,0.6454545454545455
"Lasso->PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.442958213840442,1.1244315141790306,0.2044663954225222,0.518156427988966,0.6909090909090909
"Lasso->PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.442958213840442,1.1244315141790306,0.2044663954225222,0.518156427988966,0.6909090909090909
"Lasso->PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.4394004100445277,1.1855994064197934,0.20838454516151794,0.5046239881980084,0.7181818181818181
"Lasso->PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.4394004100445277,1.1855994064197934,0.20838454516151794,0.5046239881980084,0.7181818181818181
