dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
PCA (n_components=50),Random Forest,50,,1.0447687869484894,0.8083636363636365,0.5763518090839107,0.763831649922017,0.8636363636363636
PCA (n_components=50),Random Forest,100,10.0,1.0177434451286802,0.8017014323615463,0.5979856038863556,0.7816319808043796,0.8727272727272727
PCA (n_components=50),Random Forest,100,20.0,0.9919920270940598,0.7804545454545455,0.618072138824737,0.7903072371039321,0.8727272727272727
PCA (n_components=50),Random Forest,100,30.0,1.0300613397445628,0.8091818181818181,0.5881954387990762,0.7761831503028358,0.8727272727272727
PCA (n_components=50),Random Forest,100,,0.9990941351589904,0.7830909090909094,0.6125837823967155,0.7836748267083857,0.9
"Lasso->PCA (top-100, 95%var)",Random Forest,10,10.0,1.2836300862159302,1.032282603426523,0.3604938093825869,0.5950360983479858,0.7636363636363637
"Lasso->PCA (top-100, 95%var)",Random Forest,10,20.0,1.2456469658921678,0.9763636363636365,0.397780343854247,0.6261727512732371,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",Random Forest,10,30.0,1.2804118655551993,0.9799999999999999,0.3636964331537079,0.5924413237616117,0.7818181818181819
"Lasso->PCA (top-100, 95%var)",Random Forest,10,,1.2543741648545481,1.0018181818181817,0.389312291506287,0.6295121013840681,0.7363636363636363
"Lasso->PCA (top-100, 95%var)",Random Forest,20,10.0,1.258371253004579,1.0062628967411216,0.3854141536534962,0.597573772256874,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Random Forest,20,20.0,1.2784756548327387,1.0327272727272727,0.36561938670772387,0.5951814509701506,0.7727272727272727
"Lasso->PCA (top-100, 95%var)",Random Forest,20,30.0,1.2508996762330702,0.9822727272727271,0.3926906915576085,0.6067574481226051,0.8090909090909091
"Lasso->PCA (top-100, 95%var)",Random Forest,20,,1.2567635201001601,1.0118181818181817,0.38698357711059794,0.6141699899458087,0.7909090909090909
"Lasso->PCA (top-100, 95%var)",Random Forest,50,10.0,1.2409003537968961,0.9813958685565306,0.4023611872772497,0.630489308159267,0.7727272727272727
