dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.2524046676512537,0.9905641932959763,0.4007053849565432,0.6791440490251087,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.2216095519302042,0.9727238745219158,0.4298149054866879,0.6752526080767037,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.2673507550332157,1.0195042014063098,0.3863161757861798,0.6617063361496736,0.7272727272727273
PCA (n_components=50),Poisson Regression,0.1,1.1386052980722532,0.8567848515593378,0.5046668192851598,0.7243797446943031,0.8
PCA (n_components=50),Poisson Regression,0.5,1.143378931200606,0.8882209116026145,0.500504717490523,0.7269202470196243,0.8181818181818182
PCA (n_components=50),Poisson Regression,1.0,1.1693715912411402,0.9262807140434489,0.4775363285022507,0.7238633449475954,0.8
PCA (n_components=50),Poisson Regression,5.0,1.3718673156155512,1.1411477448730305,0.2809232633485097,0.7175328373384012,0.6272727272727273
PCA (n_components=50),Poisson Regression,10.0,1.4782487837534366,1.242498301118028,0.16507766122425627,0.7128806289060073,0.6
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.1,1.402463150177474,1.1000840239194714,0.24849142884116127,0.567352725286928,0.6909090909090909
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.5,1.3846000039456672,1.0898150733590837,0.26751341159465925,0.5682472034196182,0.6909090909090909
"Lasso->PCA (top-100, 95%var)",Poisson Regression,1.0,1.3838019096629737,1.0987198571979944,0.26835759023772765,0.5683532497961744,0.6636363636363637
"Lasso->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4778612366392725,1.2184770718348756,0.16551538095274188,0.5714931446846385,0.5818181818181818
"Lasso->PCA (top-100, 95%var)",Poisson Regression,10.0,1.5426633692724234,1.2882180342307643,0.09072896909189299,0.5720003230072979,0.5818181818181818
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.1,1.3950657873883963,1.0877159785746189,0.2563982611129675,0.6443008982584076,0.7
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.5,1.3142975167085504,1.040666831043709,0.3400084200524873,0.6470949897450586,0.7090909090909091
"Ridge->PCA (top-100, 95%var)",Poisson Regression,1.0,1.2790904664490435,1.0280384932795155,0.37489417731958485,0.644595983827955,0.7545454545454545
"Ridge->PCA (top-100, 95%var)",Poisson Regression,5.0,1.379899517951897,1.1572742793934554,0.27247830927118255,0.6445498767077131,0.6363636363636364
"Ridge->PCA (top-100, 95%var)",Poisson Regression,10.0,1.4767177831355465,1.2432668907263322,0.16680619932905882,0.6438029413597967,0.6
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.1,1.7192062438709645,1.2863993562155442,-0.1292938936649537,0.489634563407411,0.6818181818181818
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.5,1.5008854387634,1.1582602948810798,0.13931128505689305,0.5663245365055367,0.7363636363636363
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,1.0,1.4119665024430696,1.1097335038428517,0.23827219714364467,0.5938458765778455,0.7545454545454545
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,5.0,1.3136821685252453,1.056674607636866,0.34062628555355656,0.6270153388797705,0.7272727272727273
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,10.0,1.329694636352742,1.075440125411647,0.32445411304627436,0.6276654492751794,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.1,1.338052268997317,1.0241473803167767,0.31593530322134233,0.6193062283753477,0.6909090909090909
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.5,1.3262908388570003,1.0303416185913028,0.3279082569782542,0.6160833406704482,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,1.0,1.3315079998452943,1.0492991058065457,0.32261031294990683,0.6164614190564307,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,5.0,1.4498436355020135,1.1933456587716835,0.19685612221387105,0.6184117502426574,0.6090909090909091
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,10.0,1.5250948746795316,1.2683794779611426,0.11132135656437836,0.6170838651796945,0.6
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.993861072042259,1.4117072240922757,-0.5189406641424301,0.4214375218578181,0.6454545454545455
