feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,target
9.1081,86.2425,61.3213,111.6864,62.4222,10.5359,129.6206,73.1689,78.1446,6.4657,24.6048,442.6959,4.922,148.681,48.0555,8.0174,25.1039,84.552,114.3858,28.7566,220.1941,2.3311,97.9658,99.8109,65.8958,43.2738,20.0449,32.5957,321.5814,15.6946,138.4733,109.0264,38.4087,2.909,131.1176,40.0862,38.2432,178.9185,0.3264,152.7834,396.1017,28.9979,45.9066,15.7665,22.0818,48.1978,6.0829,131.4767,98.6879,2.0982,137.6133,134.4385,99.7311,56.1658,103.0474,76.3482,38.1517,67.8576,89.6279,15.2752,91.3148,73.8547,198.6121,59.0567,330.4785,43.2366,273.5083,2.0393,12.418,102.4885,69.2078,19.8846,8.4066,59.1322,2.4573,173.9712,35.8069,15.0486,1.2062,177.1945,3.9901,81.4538,96.6257,10.1723,2.7843,4.3386,77.3015,32.4549,27.6767,148.0893,117.8546,171.4471,84.1606,76.2471,71.5447,58.5871,185.8167,9.974,21.3791,4.7864,5.0
36.242,165.0964,101.3244,179.64,249.3883,17.0403,156.2686,193.7237,93.0655,143.5076,25.9473,1184.826,51.0909,319.778,99.4848,9.1777,70.2636,53.4719,201.9879,82.1115,636.7241,10.4591,65.1618,106.2318,65.6353,18.8057,39.3361,173.9609,671.2378,84.7593,123.6545,269.6691,33.1309,4.5681,242.4903,19.152,86.1205,258.97,5.1969,266.6115,329.0814,54.158,56.1123,60.636,1.9694,98.6146,5.6839,120.9943,338.1598,177.3853,75.2866,184.3194,48.1288,384.2582,251.1312,182.4033,48.5684,40.0441,79.7116,62.7969,45.5555,163.3473,65.7692,62.0435,110.8827,16.4834,497.4246,13.0328,24.398,255.5771,53.1339,21.8913,7.0095,350.0588,0.8113,308.179,58.9216,12.9266,0.5356,428.5765,30.7312,234.1063,244.1481,90.5511,3.5402,41.6456,123.4352,70.1212,28.0813,212.8216,417.8325,294.3142,183.9766,103.9124,196.0534,159.9214,170.9214,44.7734,56.4405,4.3312,5.0
68.8423,105.2951,97.5426,167.719,156.8002,29.8404,57.7405,146.9764,111.3956,42.0591,40.7978,682.741,45.6622,441.8755,90.0347,17.8469,69.625,60.5998,199.6669,17.63,431.8439,228.2445,87.9948,96.4038,84.3216,69.1381,23.3276,83.9352,403.0692,22.5551,75.2354,500.9314,34.3295,3.0777,274.2698,89.0311,120.6495,215.059,9.5456,220.9919,394.364,37.5081,62.3678,34.9686,47.5962,82.4414,38.7105,82.4742,283.102,12.8121,127.1101,187.7134,152.8918,139.5493,137.12,104.2656,46.4457,73.4997,83.7772,151.638,24.1078,121.7354,122.1675,54.6482,99.961,114.0734,387.1225,37.9028,26.8322,145.8625,65.8092,240.3554,23.6462,80.6471,0.0051,290.7781,31.0436,18.7414,0.1104,249.9213,15.9763,299.7946,138.3674,33.0828,13.4916,50.1825,105.6645,159.1318,42.664,179.7333,275.9862,223.8135,124.5866,47.3071,146.8614,145.9031,218.0469,74.9721,22.8652,32.8033,2.0
92.9265,228.0582,74.4297,430.2785,245.8036,47.1575,34.0675,258.1458,154.9515,48.5173,22.3568,438.719,28.9384,101.4118,169.1905,39.495,116.1155,115.9073,900.1223,37.2061,801.2931,187.8965,79.3748,156.4986,68.7138,18.4624,23.819,54.5238,1263.6229,11.6779,133.8778,192.5923,39.7983,28.8124,353.458,105.4519,152.6237,471.9332,10.1315,511.0134,414.3242,34.6246,112.2697,43.9934,2.1118,81.3783,20.8329,115.9864,610.3492,21.2383,83.2028,520.4858,83.7584,214.2961,260.6302,116.7625,47.1499,39.0348,200.1055,74.3163,23.7064,147.7137,119.1803,89.4162,219.2922,16.6939,467.6049,6.2114,46.9786,316.5751,28.2403,34.1135,34.7451,170.9869,0.0742,971.2872,23.9758,11.1769,0.5057,177.0237,9.2756,107.8967,315.5303,56.1917,5.3485,37.0797,63.2368,32.09,11.2944,351.8588,424.4679,565.4561,73.3236,19.4725,124.1111,207.194,222.8395,39.0143,144.6736,7.1527,3.0
89.2406,148.6646,49.4385,141.3956,184.9314,39.5533,70.7081,157.7049,124.002,43.3053,21.1293,864.842,16.0802,133.4968,44.7945,10.0004,46.6539,57.576,165.1605,48.8277,474.8137,13.0738,90.0929,87.5004,91.1756,28.3982,47.1687,43.6536,521.8512,18.4664,71.2314,175.0559,55.7892,19.3611,231.7904,186.964,84.2671,241.8922,4.8785,283.546,468.0867,32.6339,34.1762,38.6061,3.2338,98.34,4.4142,116.788,184.995,13.5129,133.8375,229.6022,142.7078,220.3894,88.5888,117.8036,48.8186,56.9671,67.0002,42.7225,40.5589,101.6432,125.9743,55.8363,38.0112,56.0277,382.5539,5.204,18.7931,198.2707,62.2259,18.0142,47.9346,99.0668,14.1789,284.044,22.3356,39.9159,7.7968,299.1691,18.82,110.8058,133.9481,30.4418,2.8938,39.8454,109.4835,14.2697,21.5224,202.9102,321.2348,251.5658,174.1999,87.807,189.008,108.3985,242.0039,41.5918,21.2741,38.2277,4.0
82.4898,171.6048,152.6712,193.2493,283.4429,123.0507,149.1376,155.8933,112.0511,88.8488,75.2298,612.514,59.4728,179.0789,104.0405,12.8801,21.8241,49.3764,166.7487,20.124,544.6279,30.1802,100.2706,104.5291,88.1415,22.6269,33.5255,430.5704,598.1638,21.3433,76.479,157.7269,47.6876,13.8516,362.001,52.6516,72.005,305.4552,3.7093,369.8069,445.4275,63.5016,52.2995,48.8662,6.9336,76.7689,17.7239,109.7261,435.7937,44.3956,199.3857,341.1595,36.778,198.6811,248.4063,158.0497,40.4699,27.2362,88.9295,31.5755,24.4644,142.6882,74.8012,46.4198,314.145,8.168,435.8197,6.2419,59.2085,209.9078,43.0461,22.5603,19.587,153.1695,11.9316,407.9989,98.4006,78.1738,14.7178,363.6666,19.4555,144.6831,178.9591,35.2584,6.6584,44.5694,134.2521,19.8269,16.0349,227.4904,389.8233,162.0961,90.9501,132.8031,171.1413,119.9171,252.4688,30.5284,25.1505,0.8443,0.0
21.5262,137.7482,69.2601,179.6688,167.4882,9.0705,88.1458,96.5861,137.7033,9.9324,26.7977,606.8853,8.6405,89.3752,74.0311,7.0212,29.2445,105.3373,184.381,48.099,376.6177,38.7118,76.3757,115.0765,93.037,39.0254,23.2042,42.3347,493.3304,12.4886,101.8034,184.3019,101.3959,22.2078,204.8888,29.449,69.209,266.0027,1.8651,237.5679,712.532,69.9203,65.5841,49.7653,19.7695,61.0925,8.71,153.2472,116.5165,1.9187,199.8577,103.571,126.0408,93.6746,197.5041,83.28,50.4486,65.6618,117.02,43.4018,45.5615,131.5412,150.0908,73.72,104.1177,184.9538,614.1075,8.3577,25.0048,163.8471,40.5288,12.1842,4.8315,90.216,3.1803,262.6225,20.2757,16.2061,0.1956,397.1785,9.6719,58.4049,179.6813,22.306,2.8918,12.0337,125.7438,13.398,33.0717,305.1429,295.1654,293.2807,200.8308,31.4478,231.2784,122.9067,290.7766,16.4212,33.273,8.9807,5.0
38.6586,251.9632,197.9173,220.3751,273.069,55.8397,60.8653,138.9898,128.6087,18.4274,101.168,751.0942,16.2078,195.0164,77.4562,2.1534,27.8307,87.9764,256.9319,17.929,785.789,12.3351,99.8322,143.7007,96.1147,24.5503,13.6322,66.0926,881.5233,86.8026,150.7548,174.1033,40.3875,8.351,331.7368,61.4365,23.182,415.3158,1.24,441.705,519.737,59.1271,42.7327,117.8976,0.2448,77.8008,42.4518,82.9745,58.9073,0.7096,193.321,246.7154,48.9042,66.0014,249.0188,260.9635,82.2692,42.9783,114.3163,26.068,51.6571,154.8861,160.9111,64.4243,259.8911,3.1687,583.8744,1.8711,76.9383,322.7634,65.6225,10.5596,48.7211,125.6938,5.6717,424.9934,31.2839,53.0613,0.0435,440.7494,20.7358,72.1895,167.6253,27.1211,14.1948,114.9131,43.7235,14.4445,68.9575,196.344,269.9138,181.2975,180.989,34.2048,126.4052,226.3356,209.0867,32.9456,27.3674,0.4559,5.0
118.4049,157.7226,84.6851,172.465,184.5507,49.1168,30.8056,161.9038,126.0795,53.001,18.2198,597.1298,85.2857,414.1812,118.7892,15.183,83.3469,50.6729,294.6119,21.4817,414.8381,132.9381,67.6526,156.4312,70.4002,22.4767,25.3895,40.019,620.3578,29.5387,105.1054,369.501,41.2981,18.9558,258.8565,78.7693,230.4759,295.9059,5.4801,312.966,402.3323,26.1366,63.1589,32.0874,2.3097,83.9048,72.9529,101.8344,337.8111,11.8218,151.3721,328.7586,53.5517,287.344,171.3574,96.0387,44.0219,58.4097,87.817,58.5512,22.356,121.4709,139.8512,36.4375,271.2034,27.9713,518.3453,7.0697,28.8401,192.4742,51.5139,86.5111,32.335,85.6394,0.0567,323.449,47.4622,11.8877,0.0,297.7085,10.8329,344.7561,161.268,32.7093,10.2576,59.7402,112.8663,199.9128,27.1357,196.5477,399.1458,305.686,163.6601,65.1183,157.8062,162.0032,217.2401,33.1842,12.441,17.6662,1.0
37.7445,185.9956,222.8871,226.2702,206.9059,118.6346,18.2252,191.6823,119.5771,12.2736,70.7734,877.8382,15.7855,113.4776,148.2154,19.9275,27.0841,80.0456,266.9066,9.6617,629.5279,20.0821,115.8857,127.4188,100.0842,44.3712,32.0434,77.7866,648.673,6.3232,140.9358,330.409,42.3994,6.1747,355.4193,95.0636,108.8063,381.6266,4.8518,391.8222,651.3731,44.3787,40.3892,19.7334,1.5265,71.3493,18.3884,86.2803,44.9723,6.6415,184.8835,461.6607,104.7551,81.2397,182.5389,165.362,83.7024,61.1159,109.4441,28.6907,10.264,162.1624,155.9763,32.2388,436.0347,13.7555,593.6351,5.5928,65.7332,251.1292,58.3023,20.4059,10.4431,61.3556,0.1227,382.5443,21.9202,93.5129,0.0415,447.5675,7.6719,72.6798,167.8396,18.9744,12.0177,28.863,58.9636,58.7391,78.013,203.4298,430.6049,267.3824,304.1652,22.8874,145.9552,134.0545,450.7701,37.3627,15.1777,0.0332,2.0
