dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc,qwk
PCA (n_components=50) + SMOTE,Poisson Regression,5.0,1.3415286248246154,1.091104636272985,0.29793064001870717,0.6820855450047818,0.6146788990825688,0.2791762013729977
PCA (n_components=50) + SMOTE,Poisson Regression,10.0,1.4507487571462647,1.201764196789737,0.17895956417355596,0.6782688927239551,0.5963302752293578,0.23048327137546465
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4331537806897172,1.163153049475182,0.1987542859229957,0.5808897359588631,0.7155963302752294,0.4139010644959299
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.3526190760792915,1.0986039164798933,0.286274607491092,0.5840995168211234,0.7339449541284404,0.43181025462155564
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3196070977810712,1.0641013938180863,0.32068779465586417,0.5831370566807411,0.7339449541284404,0.39906286606794217
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.404891316630994,1.1526712007105653,0.23004456577462074,0.57255947750245,0.6238532110091743,0.22202001819836215
"Lasso->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4890751115969818,1.2410277643900451,0.1350055083444497,0.5656847622140044,0.5871559633027523,0.18937644341801385
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.1,1.4873114861997017,1.16024727591359,0.13705325307335225,0.6459103190386855,0.7247706422018348,0.45281823939202026
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,0.5,1.383888062456612,1.1058265282929607,0.2528942855674018,0.658564536352383,0.7614678899082569,0.4779169413315755
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,1.0,1.3362997293592678,1.08003088888265,0.3033929057922168,0.6687343737963247,0.7706422018348624,0.4778825235678028
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,5.0,1.4016983486954668,1.1368291122491825,0.2335404223864047,0.6740776869894822,0.6422018348623854,0.30404217926186283
"Ridge->PCA (top-100, 95%var) + SMOTE",Poisson Regression,10.0,1.4851266103654008,1.2191732242767697,0.1395867460935094,0.6715980483026842,0.6330275229357798,0.273542600896861
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.1,1.999100620475919,1.49745939869724,-0.5590119351800231,0.5340184012405369,0.6422018348623854,0.41102181400688864
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,0.5,1.517001296224233,1.223204351252471,0.10225698273065165,0.5678657063744768,0.7064220183486238,0.4576323034567146
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,1.0,1.4004877622987906,1.1395714837205653,0.2348637668283885,0.593420682515664,0.7247706422018348,0.4473684210526315
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,5.0,1.2837982930977354,1.048460183471774,0.35705515302396906,0.6218535567120834,0.7706422018348624,0.45314109165808447
"ElasticNet (top-200, l1r=0.5) + SMOTE",Poisson Regression,10.0,1.2792312371259835,1.045212318154544,0.36162151227804473,0.6214884856243523,0.7431192660550459,0.4496521420725009
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.1,1.3970472830127076,1.1560098400819698,0.23861846140424026,0.6007552925509919,0.7064220183486238,0.4648023143683703
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,0.5,1.2927853068062385,1.0829247992618496,0.3480219915340357,0.6152585712181333,0.7798165137614679,0.4738273283480625
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,1.0,1.2593435727204754,1.0513748499437252,0.3813164168648433,0.6170981502056623,0.7706422018348624,0.46142265713210384
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,5.0,1.373967031131831,1.135503553135542,0.2635678234589969,0.6141965462356423,0.6422018348623854,0.2930638493339458
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Poisson Regression,10.0,1.4708109896001669,1.2250130656815732,0.15609440850882683,0.6066011711376494,0.5963302752293578,0.2114285714285714
