dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc,qwk
PCA (n_components=50) + SMOTE,Random Forest,10,,1.0582575730459438,0.8209090909090909,0.5653419296895048,0.756844007415489,0.8454545454545455,0.6634493268986538
PCA (n_components=50) + SMOTE,Random Forest,20,10.0,1.0197375907137745,0.7727811546479114,0.596408662998195,0.7722490759900168,0.8636363636363636,0.7122348680807036
PCA (n_components=50) + SMOTE,Random Forest,20,20.0,1.0724970862431282,0.8395454545454544,0.553566044393123,0.7446601233915857,0.8545454545454545,0.6592679127725856
PCA (n_components=50) + SMOTE,Random Forest,20,30.0,1.008250059170929,0.7822727272727272,0.6054505068001027,0.777033211446556,0.8818181818181818,0.6882015465203293
PCA (n_components=50) + SMOTE,Random Forest,20,,0.974107983560531,0.7959090909090908,0.6317191108545035,0.8023210606294318,0.8909090909090909,0.6716697936210132
PCA (n_components=50) + SMOTE,Random Forest,50,10.0,1.0063152752630677,0.7833765488006218,0.6069632973423088,0.7808422296272631,0.9,0.6964382083108472
PCA (n_components=50) + SMOTE,Random Forest,50,20.0,0.9942946334873874,0.7834545454545456,0.6162970233512959,0.7844198239836367,0.9,0.6939984206370097
PCA (n_components=50) + SMOTE,Random Forest,50,30.0,1.0085687428682832,0.7776363636363636,0.6052010520913523,0.7803163716612537,0.8454545454545455,0.6619812583668006
PCA (n_components=50) + SMOTE,Random Forest,50,,1.0075496829617703,0.7705454545454546,0.6059984603541186,0.7867014971157601,0.9,0.7096948420199838
PCA (n_components=50) + SMOTE,Random Forest,100,10.0,1.0425927904956598,0.8148370171355648,0.5781146813509856,0.7625671102831113,0.9,0.6911037891268534
PCA (n_components=50) + SMOTE,Random Forest,100,20.0,1.023292813332617,0.7913636363636364,0.5935895881447267,0.7671525978224535,0.8909090909090909,0.6987162693214566
PCA (n_components=50) + SMOTE,Random Forest,100,30.0,1.0115487675297268,0.7798181818181819,0.6028645753143445,0.7762107907056972,0.9,0.7154579142403388
PCA (n_components=50) + SMOTE,Random Forest,100,,0.9918316389387868,0.7691818181818181,0.6181956312548114,0.7830757719583274,0.9181818181818182,0.7232595358762337
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,10.0,1.3678037163379908,1.1102272871464713,0.2738730825705984,0.44807179405919284,0.7363636363636363,0.34316569954867815
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,20.0,1.3308917038109178,1.0945454545454543,0.31253528355144966,0.5409909133051097,0.7454545454545455,0.38604372566636713
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,30.0,1.3102393951974094,1.0672727272727272,0.3337054144213497,0.5392820546353441,0.7727272727272727,0.3885054021608644
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,,1.3145687160019095,1.05,0.3292949704901207,0.5250669738450351,0.7636363636363637,0.38276279915177214
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,10.0,1.2875218843201823,1.0374554982246833,0.35661013306706923,0.5816784544806809,0.7454545454545455,0.3678629690048939
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,20.0,1.2646325373583642,1.0177272727272728,0.3792829420066718,0.5994924213784446,0.7363636363636363,0.3822333437597748
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,30.0,1.214832573574722,0.9836363636363635,0.4272068257634076,0.6487988696058951,0.7818181818181819,0.44690265486725667
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,,1.2567816039392048,1.041818181818182,0.386965935334873,0.5902954082143258,0.7545454545454545,0.4051297898640297
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,10.0,1.2419841653687929,1.0162488336373947,0.4013167670315472,0.6162137474079977,0.7727272727272727,0.3693618443033745
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,20.0,1.2461197957879273,1.0014545454545454,0.39732306902745707,0.6073014830239144,0.7727272727272727,0.38793953335524156
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,30.0,1.266683572454965,1.0367272727272727,0.3772678983833718,0.5896041636349842,0.7454545454545455,0.38479623824451403
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,,1.2521065885502356,1.016909090909091,0.3915182191429305,0.5949569997810321,0.7727272727272727,0.41536748329621376
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,10.0,1.2317515917802617,1.0199484216994466,0.41114110198152987,0.6204534642535704,0.7636363636363637,0.4140625
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,20.0,1.2557254332203214,1.0213636363636363,0.3879958622016936,0.6015849097232739,0.7454545454545455,0.42332683560753737
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,30.0,1.2309142943357188,1.0042727272727272,0.41194139722863743,0.6235396779496046,0.7636363636363637,0.4180327868852459
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,,1.2388429352350596,1.0213636363636363,0.4043413202463434,0.6128565434072543,0.7454545454545455,0.4139993533785967
