dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.142387343818942,0.8723294692949568,0.4934856619148018,0.693784863026995,0.8272727272727273,0.5546641283655154
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.1318473471766164,0.8550512876734773,0.5027890412670002,0.7049476033491622,0.8181818181818182,0.5438493231312538
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.189041420204988,0.9115038006217953,0.45126969664314076,0.6454068303936896,0.8,0.5146678170836928
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.05,1.1126206375936083,0.9020580308114715,0.5195378282425452,0.768621871993627,0.8090909090909091,0.5688373476063038
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.1,1.0224882348837783,0.8016821877111425,0.5942284287671123,0.7938800516915897,0.8727272727272727,0.7086170770036668
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.05,1.0606256473447278,0.8452923399923974,0.5633944751717469,0.7749444971525393,0.8636363636363636,0.6299824150058617
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.1,1.0278995525693913,0.8078178331500181,0.589922131412449,0.7817058756513612,0.8636363636363636,0.6673623793373337
PCA (n_components=50) + SMOTE,Gradient Boosting,50,5,0.05,1.039935956328843,0.8136047428388482,0.5802621183438035,0.7706539775996668,0.8909090909090909,0.722972972972973
PCA (n_components=50) + SMOTE,Gradient Boosting,50,5,0.1,1.030552556175347,0.7878245958843263,0.587802581807209,0.7753324450991931,0.9,0.7284692052133912
PCA (n_components=50) + SMOTE,Gradient Boosting,100,2,0.05,1.0206289581882084,0.798191103231841,0.5957027844964907,0.7945127763188701,0.8545454545454545,0.6656094870380584
PCA (n_components=50) + SMOTE,Gradient Boosting,100,2,0.1,1.00324531320659,0.7654128833734432,0.6093577104984935,0.7930672083747915,0.8454545454545455,0.6889922090977633
PCA (n_components=50) + SMOTE,Gradient Boosting,100,3,0.05,1.0263377483929823,0.7829008909276653,0.591167340175322,0.7826803639459319,0.8727272727272727,0.7056921086675292
PCA (n_components=50) + SMOTE,Gradient Boosting,100,3,0.1,1.0175441396389868,0.784824553248014,0.5981430420523763,0.7829528511941768,0.8909090909090909,0.7059939301972686
PCA (n_components=50) + SMOTE,Gradient Boosting,100,5,0.05,1.0418595158835897,0.7939103329034967,0.5787079120114841,0.7659755101001404,0.8818181818181818,0.6982210927573063
PCA (n_components=50) + SMOTE,Gradient Boosting,100,5,0.1,1.0397071295991445,0.7865785548098422,0.5804468156400617,0.7682893424962537,0.8818181818181818,0.7182831096480121
PCA (n_components=50) + SMOTE,Gradient Boosting,200,2,0.05,0.998232894755556,0.7615064051514233,0.6132514165613969,0.7917648116967397,0.8545454545454545,0.6989463120923232
PCA (n_components=50) + SMOTE,Gradient Boosting,200,2,0.1,1.0002938760440434,0.7491101742621209,0.6116527827412204,0.793113392654155,0.8545454545454545,0.7218934911242604
