dimension_reduction_type,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-20)",Linear Regression,2.066011701546075,1.167035735085367,0.27927341980835757,0.2727272727272727
"Ridge (alpha=1.0, top-20)",Linear Regression,2.545707646281579,1.2947743767054811,0.23860446570972887,0.2545454545454545
PCA (variance=0.95),Linear Regression,2.180625372409261,1.247044046832226,0.12151515151515152,0.21818181818181817
