dimension_reduction_type,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Linear Regression,2.1500509962470926,1.1666528736889559,0.26270227099104104,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Linear Regression,2.854513050201856,1.3785247143863832,0.18431948798328107,0.17272727272727273
PCA (n_components=50),Linear Regression,1.824683340635225,1.072383811948913,0.28845714033448244,0.2818181818181818
