feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
-6.1778613327301635,1.3458988226526187,2.793126147729744,-1.5855891244360816,1.5948401617320516,-2.1400629044200166,1.947607645035194,0.0005598191946554097,0.739489523708109,1.6273398260272391,-0.42710198870120974,0.5382570533254025,0.48412114568680475,0.00033742852325684234,5.0
4.87254439692432,-4.321989894095628,-4.166942680249294,-1.2849431001457672,1.2092238846416672,1.158055142135723,1.1198310520450652,-0.9211808594076655,0.9639208990164652,-0.7783079878853871,-0.5153487454097689,0.24834457305953161,0.4773877230187108,0.3792009430416539,4.0
-0.5542054256935582,-1.9338298593035903,-0.3867823027708251,-1.2709815447875015,0.18164775662148247,-1.9378464312968569,0.7666636821512879,0.28899115397269687,-1.7928903359010906,0.15477254824021505,-1.0030699228578699,-0.6408017863263523,-0.10836199842882795,-0.21264862756465136,2.0
-3.7467162910096556,-2.2954185549976813,1.0885865321866284,-3.338077503284901,-1.158891426380766,-2.2262361324888937,0.22830973067315277,0.4125283317711813,-0.7588517731708996,0.5106339946027207,-0.256994934872954,-0.704405034083074,0.23401270292433995,-0.5149282218202234,4.0
6.0006363659893855,-5.41959364482458,-1.2903592938214805,-3.1446393461418567,-0.7456850531330346,1.086669443709421,1.1867434987461318,-0.26052116575901973,2.4340294989301046,-0.2611008280478797,-0.09320260116881661,0.8694000324399772,-0.12185196828565784,0.9838827129725957,0.0
2.4916027389065425,0.42900743554858706,3.952831550485306,-2.5547773849647446,2.643601878095253,-1.7792596843518358,-0.19398815853535134,1.186875269533371,0.8801874085430592,0.3152513441254357,-0.40490807481957813,0.4153945570131876,-0.5424987186379528,1.5787352360932363,5.0
3.427345513883467,-1.8635775114743047,4.342912930826186,0.565526952290341,1.3218296549785722,1.2579900681345233,1.2482028248037305,0.709175931425896,-2.7027329586388826,-0.9116344481780239,0.24883414656924355,-1.125992402860524,0.18608805377207083,0.33207448410813917,5.0
3.883604024663261,-0.9618499522072983,2.192460429966064,-0.2283108311647345,-0.8787343323921504,0.4331660522246666,-0.1437024717010337,0.16945823918989242,-2.0200804825307794,-1.2291340914508422,1.586208259394426,-0.46484204583706795,-0.021926208413684374,0.039841686250604774,3.0
-1.3949995246483655,1.120613417592288,0.8461984221125504,-1.8942724341820143,3.3670519863184567,-3.234725866750853,0.2426822925636147,-1.9638781420041314,0.27366986115379255,-1.3159205407740409,2.027164843120336,-1.0450718372987648,-2.088940377052828,-0.7948820688939175,3.0
0.745752384219901,-3.349796939913624,-3.393649931224275,-0.7643339714896381,-2.0374998899761882,-0.3813401537355885,0.549358944372679,-0.06677378449843892,-0.7683231917867099,-0.30668266990901394,1.1289070194396382,0.11477763769121586,0.22762216009309977,0.49349384356825665,3.0
-7.815943621756228,-0.6983400259147481,-3.196205496896419,-3.0246135925447453,-2.012280796117998,-2.1557282883772473,-0.9562583900469274,-0.20471017725860352,1.250088373382873,-0.6134093718103524,-0.5517133844041457,-0.5152033825201524,-1.5873241849232111,-0.03756224685118583,3.0
-1.5840837390214255,-3.052749271345845,-0.549424863448818,-1.9151877739259295,-4.470745141163513,-1.4494437795709854,0.03281174659080968,-1.456127219442379,-2.160214109914567,-0.45849212101873466,1.6052549537033878,0.7075268262425448,-1.2009689906400975,-1.6913185725986903,3.0
-6.441266069244924,4.35840921489051,2.948523249872126,2.721090405027251,-1.5426537728995444,1.8645135735373601,-0.7427316631616636,-0.7305553127926037,2.2895240428690498,0.23542481392273126,0.13233359271210887,-0.6341604288477559,-0.40714843838284537,0.45915340703404306,5.0
0.12799048254931936,-2.1842557407628367,4.371492462592509,-1.7027422237591523,1.220823107604317,2.377505097745523,0.5972558061365587,0.04454876970457005,-0.71490486122563,-1.5281001350818377,2.0328293399460264,-1.4350631935781832,0.28437907619524283,0.6761008410367176,2.0
-6.434160654976314,1.0744091696264024,0.2603005457027417,0.6075470681183268,-1.7216338120121757,1.3738406890267065,-1.7650584009431751,-0.2345860126848105,0.6250997893845922,-0.03366009142763189,-0.3169256579241174,0.2738391250835705,-0.47049212873934015,-0.7708019218350264,4.0
-2.5526308261649233,0.6500079967782786,-3.3273257864914676,1.426239853611961,0.5722928668453976,-0.9762933831092641,-1.1355611858458703,0.4183891068359042,0.3462271787240677,0.028531517212805186,-0.4835216228481355,-1.626573267692795,-0.966795876225926,-0.9102943324916254,5.0
1.4944170162734578,0.08899942583956533,-0.1518146026506797,2.165864108081239,2.7605170938706,2.3886777499637635,-0.4175867286071239,0.35104567649642165,-2.132107474871495,-2.2858810958906677,0.6310739431643307,0.06585052717047714,-0.13745323886449262,-0.032930522085754234,1.0
