dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.05,1.115142473390068,0.90717390836383,0.517357354853154,0.7754404810700272,0.7909090909090909
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.1,1.029504415471724,0.8306768121355596,0.5886406199686651,0.7871048179089588,0.8636363636363636
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.05,1.0633951928755192,0.8445907835012314,0.5611113366566517,0.7778818173200603,0.8454545454545455
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.1,1.0404501927335432,0.7931460395922395,0.5798469045718779,0.7630705189281739,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,50,5,0.05,1.061317109662161,0.8315932687613463,0.562825010012,0.7576577213867673,0.8636363636363636
PCA (n_components=50) + SMOTE,Gradient Boosting,50,5,0.1,1.0426440363825304,0.7890491971423651,0.5780732070211358,0.7671855382194651,0.8909090909090909
PCA (n_components=50) + SMOTE,Gradient Boosting,100,2,0.05,1.0322104211316312,0.8312272866431206,0.5864752990357279,0.7881070167711476,0.8636363636363636
PCA (n_components=50) + SMOTE,Gradient Boosting,100,2,0.1,1.0133686692340438,0.7969540026323734,0.6014342980690071,0.7839273394887474,0.8636363636363636
PCA (n_components=50) + SMOTE,Gradient Boosting,100,3,0.05,1.0289351387868668,0.7846208580493162,0.5890954262911464,0.7816458360881887,0.9
PCA (n_components=50) + SMOTE,Gradient Boosting,100,3,0.1,1.0460820615826136,0.7822331403092163,0.5752860879286739,0.7642574549078168,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,100,5,0.05,1.0736202711253362,0.8070781755992529,0.5526304885966127,0.7416133027358743,0.8818181818181818
PCA (n_components=50) + SMOTE,Gradient Boosting,100,5,0.1,1.0572722199952613,0.7878829501445903,0.5661509808570097,0.7607289759644424,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,200,2,0.05,1.0192033685421729,0.8096599692921035,0.5968314207076817,0.7817705336424702,0.8545454545454545
PCA (n_components=50) + SMOTE,Gradient Boosting,200,2,0.1,1.0318685328178154,0.7889079281129209,0.5867491886343004,0.774025429993205,0.8818181818181818
PCA (n_components=50) + SMOTE,Gradient Boosting,200,3,0.05,1.0406959907062792,0.7969398371101054,0.5796483655577144,0.7694208573406602,0.9
PCA (n_components=50) + SMOTE,Gradient Boosting,200,3,0.1,1.0833694184904252,0.8051322365612984,0.5444688063659413,0.7499218545933748,0.8636363636363636
PCA (n_components=50) + SMOTE,Gradient Boosting,200,5,0.05,1.0947847325341347,0.8170890026392412,0.5348184921690717,0.7316513536771594,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,200,5,0.1,1.0630616944939089,0.7909273807735452,0.5613865790276765,0.7577639452293033,0.8636363636363636
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.05,1.305554177030143,1.0487824074550856,0.3384620323054166,0.5933374617987413,0.7363636363636363
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.1,1.3064304002161289,1.0312820405879173,0.3375737513995578,0.5891682334127102,0.7272727272727273
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.05,1.2992034591485888,1.0438212373727471,0.34488232929207485,0.5983681418619269,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.1,1.2953693639938288,1.0300129640331444,0.34874327530784266,0.591579052795487,0.8090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.05,1.3170611522846294,1.0468667529948623,0.32674923164698744,0.5849931745582464,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.1,1.3422372430953569,1.0538869230788683,0.3007643737906751,0.5850393588376099,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.05,1.305825877424588,1.026726008914251,0.33818665678613313,0.5885724562089205,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.1,1.3315150737158243,1.0506447548429576,0.31189113620917597,0.5824715129049973,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.05,1.3131819691608921,1.037126375096619,0.33070928605452055,0.5903967352437803,0.7909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.1,1.3126191377102023,1.0299907873078553,0.33128288079724133,0.5887895223219292,0.7909090909090909
