dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,2,1.9908883353006928,1.4727272727272727,-0.5383628432127276,0.3193558672646082,0.5636363636363636
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,5,1.8150256697408391,1.3590909090909093,-0.27858769566333064,0.3902114569477646,0.5545454545454546
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,10,1.7826753121269678,1.3497402597402597,-0.23341571556487306,0.4108102130680987,0.5818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,2,1.916436086262016,1.4181818181818182,-0.4254554785732614,0.34218669855334966,0.5727272727272728
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,5,1.8211544512625872,1.3901515151515154,-0.2872370662617969,0.39856679491755415,0.5454545454545454
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,10,1.7789978878788846,1.3378715728715729,-0.2283322161097685,0.40738487939947937,0.5818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,2,1.9840271259142694,1.5,-0.5277777777777777,0.3408969354673592,0.5363636363636364
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,5,1.8234928743009289,1.3651515151515152,-0.29054489921021864,0.36259768926782054,0.5545454545454546
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,10,1.6958703257752963,1.2840836940836942,-0.11622118162455197,0.43343861452292903,0.5909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,2,1.5726724874819826,1.1473047815617474,0.040065598220378584,0.4961969021319795,0.6636363636363637
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,5,1.7143351784107324,1.3068502361072019,-0.14066062861279005,0.39008790495164153,0.6090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,10,1.6449796440664353,1.2185854453424114,-0.050233902862924174,0.3998723521683362,0.6727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,2,1.6787441193290353,1.2545454545454546,-0.09379009494482937,0.39624346250603587,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,5,1.7512982197631146,1.25,-0.1903788170387477,0.3764286629561803,0.6363636363636364
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,10,1.6063010804785676,1.1743614718614719,-0.0014260408607269515,0.43511192381042696,0.6818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,2,1.7082686610079276,1.2818181818181817,-0.13260200153964585,0.4121502721801686,0.6363636363636364
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,5,1.7042356620840886,1.2893939393939395,-0.12726046388960155,0.3888479118262562,0.6363636363636364
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,10,1.5577238735402106,1.164512987012987,0.05822766355577602,0.46464979787434113,0.6909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,2,1.6486909407714407,1.1363636363636365,-0.05497818835001267,0.4824108637925666,0.6818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,5,1.6604999551370367,1.259848484848485,-0.070145214980184,0.391925856856444,0.6727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,10,1.641215632748494,1.210851370851371,-0.045433150931943445,0.4501372514161851,0.6727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,10.0,2,1.4406352938411766,1.0282305194805195,0.19448602760725142,0.6095529965670095,0.7
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,10.0,5,1.3526155916407818,0.978685064935065,0.28990941240467405,0.6504358922987162,0.7272727272727273
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,10.0,10,1.358678015790171,0.9905753968253969,0.283529894721666,0.6366409372476867,0.7090909090909091
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,20.0,2,1.4585173044131932,1.018181818181818,0.17436489607390304,0.6202181662213698,0.7181818181818181
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,20.0,5,1.44271944394584,1.0075757575757576,0.19215368659652732,0.6101689984764347,0.7090909090909091
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,20.0,10,1.3295961419659215,0.9391630591630592,0.31387306264944137,0.6620958248519113,0.7272727272727273
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,30.0,2,1.433368568981982,1.0,0.20259173723376966,0.6226189153166741,0.7272727272727273
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,30.0,5,1.4324433459630923,0.9666666666666667,0.20362084081772314,0.6031912954186095,0.7272727272727273
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,30.0,10,1.3925152164351347,0.9918903318903318,0.24739885171795561,0.6230747307074321,0.7
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,,2,1.4270121360253514,0.9636363636363636,0.20964844752373624,0.6157849325291556,0.7181818181818181
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,,5,1.4284713168384946,0.9712121212121212,0.20803128474895227,0.6049270036048287,0.7454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,,10,1.4056685895185057,1.0244660894660895,0.23311391387403013,0.6155791516500865,0.7090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,10.0,2,1.6529363537424395,1.208824207774452,-0.06041836455069771,0.4395288273527729,0.7
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,10.0,5,1.5590708168040741,1.1581958462369994,0.056598283201742094,0.5079331297273869,0.6909090909090909
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,10.0,10,1.6353893476918977,1.1997362502774034,-0.038023789273286424,0.45009122830459614,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,20.0,2,1.7002673586554236,1.2727272727272727,-0.12201693610469588,0.44939577446294837,0.6454545454545455
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,20.0,5,1.713324195235624,1.2833333333333334,-0.1393156773016282,0.4258831603293244,0.6545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,20.0,10,1.5630530052794975,1.1543867243867243,0.05177284329322063,0.5013368821247514,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,30.0,2,1.6431676725154984,1.209090909090909,-0.0479214780600461,0.4716523467854247,0.6545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,30.0,5,1.6615451613580423,1.2560606060606063,-0.07149285062583743,0.43795903998999985,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,30.0,10,1.6143957393962443,1.1952813852813853,-0.011544476549494087,0.4772014210869208,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,,2,1.667878347427708,1.2727272727272727,-0.079676674364896,0.4483900710455248,0.6454545454545455
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,,5,1.684188201772563,1.240909090909091,-0.10089581016736515,0.4160981140964603,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,,10,1.6041412227441691,1.1981457431457432,0.0012652150264110817,0.4756382787227043,0.6545454545454545
