dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.1807319217071515,0.9155435029325395,0.4589123929191372,0.6443076445448375,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.1807319217071515,0.9155435029325393,0.4589123929191371,0.6443076445448375,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.3449750131491005,1.0403903642684864,0.2979089937597954,0.5792986529127222,0.7818181818181819
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.3449750131490974,1.0403903642684853,0.2979089937597986,0.5792986529127222,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.4534061521273005,1.1957908534061832,0.19290434618074515,0.545184421874688,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.4192823643789179,1.1664775712429387,0.2303582240983978,0.5649413228982838,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.4294553991152181,1.1583771645051695,0.2192855116826633,0.5234541361047447,0.7363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.3974595143619346,1.11825611431101,0.2538442501879946,0.5520682149267834,0.7272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.5571176856272504,1.2552708314125327,0.07360992164554314,0.33756405942602546,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.552189551906461,1.2476033429292352,0.07946452047504726,0.3479934900247125,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3060896976401883,1.0548724367323108,0.3482260062139554,0.6644543205160828,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3060896976401883,1.0548724367323108,0.3482260062139554,0.6644543205160828,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.1350644075930143,0.9103726995944199,0.5077428515724458,0.7140102533519305,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.1350644075930143,0.9103726995944199,0.5077428515724458,0.7140102533519305,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.1706447793852046,0.941450711805139,0.47639801338936505,0.6774657498483084,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.1706447793852046,0.941450711805139,0.47639801338936505,0.6774657498483084,0.8181818181818182
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.4312057805096996,1.1850261750819255,0.21737235679721545,0.6029843078097632,0.6545454545454545
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,auto,1.4312057805096996,1.1850261750819255,0.21737235679721545,0.6029843078097632,0.6545454545454545
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.1892225294474696,0.924207223041836,0.4596473612365468,0.6686546791701073,0.8
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.1892225294474696,0.924207223041836,0.4596473612365468,0.6686546791701073,0.8
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.249139104618339,0.9668337750605998,0.4038265533326235,0.6346322351437098,0.8090909090909091
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.249139104618339,0.9668337750605998,0.4038265533326235,0.6346322351437098,0.8090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4777091836504161,1.1570840160070155,0.16568708767306095,0.4913543589924288,0.6636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4777091836504161,1.1570840160070153,0.16568708767306095,0.4913543589924288,0.6636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.4593894193447954,1.1598808335792736,0.18624549321809902,0.4969056562695371,0.7
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.4593894193447947,1.1598808335792734,0.1862454932180997,0.4969056562695371,0.7
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.5138867896030734,1.2315853186453092,0.12433534806940927,0.4088318351837199,0.6363636363636364
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.5138867896030728,1.2315853186453085,0.12433534806941005,0.4088318351837199,0.6363636363636364
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.46568864582801,1.2015253056894877,0.17920544384853732,0.5301350578277764,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.46568864582801,1.2015253056894877,0.17920544384853732,0.5301350578277764,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2665718540674165,1.0305142602873965,0.38707027173763453,0.6158712479173362,0.7454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2665718540674165,1.0305142602873965,0.38707027173763453,0.6158712479173362,0.7454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2524149739075494,1.0239461789304176,0.4006955215162791,0.6252309933264142,0.7363636363636363
"Ridge->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.2524149739075494,1.0239461789304176,0.4006955215162791,0.6252309933264142,0.7363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,scale,1.4222385070316585,1.1824826322867144,0.2271487988982266,0.5464800319534816,0.6363636363636364
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),0.1,auto,1.3860070168766079,1.152564937906379,0.26602396807422246,0.563770202044143,0.6545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,scale,1.396620594893073,1.159698321702421,0.2547398420675828,0.5328277136498955,0.7
"ElasticNet (top-200, l1r=0.5) + SMOTE",SVR (rbf),1.0,auto,1.3718628255138379,1.1145688877547133,0.28092797039614736,0.5450645433620595,0.7090909090909091
