dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
PCA (n_components=50) + SMOTE,Random Forest,50,10.0,1.0327900704861828,0.8045159082703615,0.586010729750201,0.7693885283451057,0.8818181818181818
PCA (n_components=50) + SMOTE,Random Forest,50,20.0,1.0515495060321047,0.8158181818181818,0.5708348729792148,0.7665480532930613,0.8727272727272727
PCA (n_components=50) + SMOTE,Random Forest,50,30.0,1.0178319203983623,0.8085454545454546,0.5979157043879908,0.7763609673941847,0.8909090909090909
PCA (n_components=50) + SMOTE,Random Forest,50,,1.0235268793379453,0.7974545454545455,0.5934036438285861,0.7711384948658808,0.8909090909090909
PCA (n_components=50) + SMOTE,Random Forest,100,10.0,1.015652990320183,0.7987210256405375,0.5996353906649157,0.7793458589758845,0.8818181818181818
PCA (n_components=50) + SMOTE,Random Forest,100,20.0,1.0244439733560127,0.7939999999999998,0.5926746856556325,0.7672570763772225,0.8727272727272727
PCA (n_components=50) + SMOTE,Random Forest,100,30.0,1.0219971535274361,0.7998181818181819,0.5946181036694893,0.7702609085779183,0.8909090909090909
PCA (n_components=50) + SMOTE,Random Forest,100,,0.9994766812505613,0.7624545454545457,0.6122870477290223,0.7858432275036425,0.8818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,10.0,1.3115461208501942,1.0752386855899838,0.3323757362035532,0.5378939286602231,0.7272727272727273
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,20.0,1.308503656159133,1.0363636363636362,0.3354695919938413,0.5350184234712575,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,30.0,1.3523380427312477,1.0899999999999999,0.29020079548370525,0.4919269142841045,0.7272727272727273
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,10,,1.3322571414367013,1.049090909090909,0.31112394149345657,0.5389998692651705,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,10.0,1.2647750466910257,1.01328153143516,0.37914303898317103,0.5924351590421196,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,20.0,1.2473699604294703,1.0186363636363636,0.39611319604824213,0.6027621235565654,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,30.0,1.243281947106126,1.0022727272727274,0.40006495381062357,0.6035626314728669,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,20,,1.317306135469449,1.065909090909091,0.32649874903772136,0.5228590431914166,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,10.0,1.2264301871151944,0.9945496977997931,0.41621807971530456,0.6204118984021433,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,20.0,1.2090507170353262,1.0080000000000002,0.43264613805491414,0.6548846011808069,0.7727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,30.0,1.2506332941208773,1.0325454545454544,0.3929493199897355,0.6087395304984565,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,50,,1.2347307398781322,1.0109090909090908,0.4082891968180653,0.603218514490174,0.7727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,10.0,1.2237089951664657,1.0060202010093995,0.41880578558182624,0.624559246688989,0.7727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,20.0,1.2248539801655023,1.0032727272727273,0.41771766743648964,0.6423567467571152,0.7636363636363637
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,30.0,1.2430475746033507,1.0234545454545456,0.400291121375417,0.6017266257962364,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Random Forest,100,,1.2475925908433703,1.0216363636363635,0.39589761354888375,0.6054427380522274,0.7727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,10.0,1.3886881209171313,1.1609555159594362,0.251529964208562,0.4987932877589097,0.6727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,20.0,1.3144995591133117,1.1009090909090908,0.32936553759302023,0.5697413490630713,0.7363636363636363
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,30.0,1.3695719304685217,1.131818181818182,0.2719944829355915,0.4824083206569784,0.7
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,10,,1.3555609372305824,1.1445454545454545,0.2868135745445215,0.5297769792014428,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,10.0,1.332748375665935,1.103217739646854,0.31061583854996533,0.5202982360258032,0.7181818181818181
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,20.0,1.2638505377686802,1.049090909090909,0.3800503592507056,0.6398536134948842,0.7363636363636363
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,30.0,1.2787067330279096,1.0618181818181818,0.36539004362329974,0.5793908587996673,0.7454545454545455
"Ridge->PCA (top-100, 95%var) + SMOTE",Random Forest,20,,1.353136088029313,1.1204545454545454,0.28936281113677187,0.5372001679849934,0.6909090909090909
