dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,2,1.8853502206607278,1.4090909090909092,-0.3795868616884783,0.27224307118390034,0.6
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,5,1.7337994711213307,1.263636363636364,-0.16670943460781795,0.35428738602822385,0.6545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,10,1.778996603989033,1.3481637806637807,-0.22833044315353468,0.3024512742849118,0.6454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,2,1.8853502206607278,1.3909090909090909,-0.3795868616884783,0.2967077191102891,0.6181818181818182
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,5,1.8009537316195392,1.3333333333333335,-0.25883870783793794,0.31074827405759725,0.6181818181818182
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,10,1.7768424196716432,1.3688708513708514,-0.22535747724433586,0.3078554060893149,0.6181818181818182
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,2,1.8389720448713138,1.3818181818181818,-0.3125481139337951,0.29591320882245337,0.6
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,5,1.8121538331917397,1.3431818181818185,-0.2745447887263708,0.33560879049702375,0.6363636363636364
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,10,1.762755631146238,1.3581565656565657,-0.20600525157707983,0.30884721505017765,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,2,1.8833425163081436,1.4494303254217047,-0.3766501895105232,0.27546408228328884,0.5909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,5,1.768514674230841,1.4145695592286502,-0.21389832726888613,0.3592437181489624,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,10,1.7685072818901821,1.4000853983181571,-0.21388817916965142,0.3169025639211036,0.5727272727272728
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,2,1.7135821066886863,1.3181818181818181,-0.13965871182961243,0.4011969684313465,0.5909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,5,1.7547914204522796,1.3393939393939396,-0.1951322954979613,0.38331833414587574,0.5909090909090909
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,10,1.8174655384872422,1.4159920634920637,-0.28202751800819614,0.3014849651809658,0.5818181818181818
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,2,1.816590212458495,1.3363636363636364,-0.2807929176289452,0.35781409790509033,0.6090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,5,1.7847558755621271,1.3484848484848486,-0.23629643885609997,0.3526952209321492,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,10,1.78315057950819,1.4149819624819626,-0.23407346899296755,0.3004429385811288,0.5454545454545454
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,2,1.8115789195666254,1.3545454545454545,-0.27373620733897863,0.33432077716819747,0.6181818181818182
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,5,1.7556906034234776,1.3575757575757577,-0.1963574188121917,0.33301705297356116,0.5636363636363636
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,10,1.6962856179694903,1.3181890331890334,-0.11676793888037729,0.3697329868023218,0.5818181818181818
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,10.0,2,1.7315700749929595,1.2319714342441614,-0.16371095033983152,0.41287156358752586,0.6636363636363637
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,10.0,5,1.6150653035441427,1.1289411312138584,-0.012383718566102653,0.43474224149587026,0.7181818181818181
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,10.0,10,1.613987239629349,1.2093199190926465,-0.011032627572652665,0.4643027529086409,0.6454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,20.0,2,1.791393566219023,1.3,-0.24550936617911212,0.3796301234025146,0.6545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,20.0,5,1.696996753031066,1.1969696969696968,-0.11770450203860539,0.404861064984351,0.6818181818181818
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,20.0,10,1.7274721440683298,1.26739898989899,-0.15820939515132104,0.42041867328305865,0.6909090909090909
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,30.0,2,1.7294244970246868,1.2636363636363637,-0.16082884269951236,0.40805115617101817,0.6909090909090909
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,30.0,5,1.8047531239435044,1.3143939393939394,-0.26415574302169764,0.3582951113333207,0.6545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,30.0,10,1.7232606245861952,1.245429292929293,-0.15256892741260475,0.39048190497117263,0.6727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,,2,1.7989896154129508,1.2545454545454546,-0.2560944316140621,0.393799045509929,0.6363636363636364
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,,5,1.7902302205091507,1.3,-0.24389220340432782,0.36600869753553505,0.6454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Decision Tree,,10,1.7247539448130547,1.274368686868687,-0.1545673485627772,0.427889415044731,0.6545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,10.0,2,1.6883312600301297,1.235694133452754,-0.10631882112838698,0.41975025170765234,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,10.0,5,1.6897527300097317,1.2518196745782952,-0.10818250871701407,0.4196150008028367,0.6545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,10.0,10,1.5947790866299387,1.1903225605811811,0.012888887113745251,0.4797977275451532,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,20.0,2,1.7241598744685114,1.3181818181818181,-0.1537721324095458,0.4403952766348453,0.6272727272727273
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,20.0,5,1.6857992739111,1.2606060606060605,-0.1030030222678413,0.4148130587433794,0.6636363636363637
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,20.0,10,1.6531231495526828,1.2422907647907648,-0.06065805060952245,0.4336947056319066,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,30.0,2,1.7399059535712633,1.2636363636363637,-0.17494226327944573,0.37936337055574537,0.6727272727272727
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,30.0,5,1.6552640242266459,1.2636363636363637,-0.0634070367519175,0.43349778601569194,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,30.0,10,1.6875003747476875,1.2721536796536796,-0.10523017477419772,0.41325266968137775,0.6545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,,2,1.662418829187267,1.2,-0.07261996407492943,0.4351051451369031,0.6818181818181818
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,,5,1.6210227162087045,1.2128787878787881,-0.019866154164171812,0.4401726536868101,0.6636363636363637
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Decision Tree,,10,1.6581267531178558,1.2509271284271286,-0.0670884778612546,0.4678048760675745,0.6909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.7626548054503575,1.3109623709623712,-0.18709522733413042,0.3017105723274067,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.8697194851303838,1.4039926739926742,-0.33568462951853095,0.26753849024680576,0.6090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.7936816523725259,1.3184768009768013,-0.22925434423883928,0.2984217871574901,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.8781034921624333,1.4,-0.34769017019798554,0.2550148398712737,0.6181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.8008310371165932,1.3265151515151514,-0.23907317355563285,0.2702639703079969,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.8134847691366747,1.3231204906204908,-0.25654731110794304,0.2858813382289099,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.8756816942599344,1.3,-0.3442167419242794,0.25962221089439036,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.8889130271779124,1.3719696969696968,-0.3632482343406278,0.2541018107797356,0.6272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.8024244686585575,1.3422763347763351,-0.2412668849395596,0.2679139902356864,0.6636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.7761040100583791,1.2818181818181817,-0.20527961097603353,0.31926949385256254,0.6454545454545455
