dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,cohen_kappa,within_1_accuracy,execution_time_seconds,parameters
Ridge100,100,Linear Regression,2.3,1.1181818181818182,0.3188038985824056,0.3181818181818182,0.409254935257907,0.7,0.007497549057006836,
Ridge100,100,Poisson Regression,2.5727272727272728,1.190909090909091,0.3041008459670984,0.3,0.34476952220585144,0.6818181818181818,0.01450037956237793,alpha=0.5
Ridge100,100,Decision Tree,3.9,1.5363636363636364,0.24731521468961662,0.23636363636363636,0.18567730802415883,0.5181818181818182,0.03835892677307129,"max_depth=10, min_samples_split=2"
Ridge100,100,Random Forest,2.309090909090909,1.0545454545454545,0.3480268440077717,0.36363636363636365,0.5322283609576427,0.7272727272727273,0.3385732173919678,"n_estimators=100, max_depth=10, min_samples_split=2"
Ridge300,300,Naive Model,5.0636363636363635,1.7545454545454546,0.20985481966713637,0.20909090909090908,-0.04717142368825855,0.509090909090909,0.005370616912841797,
Ridge300,300,Linear Regression,2.481818181818182,1.1545454545454545,0.28889564714904514,0.2727272727272727,0.4246024142556045,0.7272727272727273,0.018297433853149414,
Ridge300,300,Poisson Regression,2.327272727272727,1.0909090909090908,0.35398386978874785,0.34545454545454546,0.4585656604499134,0.7,0.014519929885864258,alpha=0.5
Ridge300,300,Decision Tree,3.6272727272727274,1.5,0.24195863001070136,0.23636363636363636,0.22742474916387967,0.5363636363636364,0.0945584774017334,"max_depth=10, min_samples_split=10"
Ridge300,300,Random Forest,2.327272727272727,1.0909090909090908,0.31788513623443615,0.34545454545454546,0.5474851357865982,0.7,1.5683300495147705,"n_estimators=300, max_depth=20, min_samples_split=5"
All Features,17214,Naive Model,5.236363636363636,1.8,0.1920651957201056,0.19090909090909092,0.030748049564019997,0.4818181818181818,0.005658388137817383,
All Features,17214,Linear Regression,2.9454545454545453,1.290909090909091,0.2656028818183041,0.2727272727272727,0.4053061905556482,0.6363636363636364,0.29436278343200684,
All Features,17214,Poisson Regression,2.0,1.0727272727272728,0.2892129609520914,0.2818181818181818,0.5027737826176288,0.7363636363636363,0.9773428440093994,alpha=10.0
All Features,17214,Decision Tree,2.9454545454545453,1.290909090909091,0.25567289853004144,0.24545454545454545,0.3811425594721305,0.6545454545454545,5.1989686489105225,"max_depth=30, min_samples_split=10"
All Features,17214,Random Forest,1.9454545454545455,0.9818181818181818,0.36840867978605935,0.38181818181818183,0.593085566119274,0.7272727272727273,1.7369942665100098,"n_estimators=50, max_depth=10, min_samples_split=2"
