dimension_reduction_type,model,alpha,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,prediction_std
Lasso,Poisson Regression,0.0,4.433313529599005e+164,2.0075569797413436e+81,0.153011988011988,0.20909090909090908,2.0959510202602357e+82
Lasso,Poisson Regression,0.001,3.1679711553668255e+104,1.697048548983265e+51,0.24032230886156244,0.2636363636363636,1.7717707011887186e+52
Lasso,Poisson Regression,0.01,7.133054803630087e+52,2.546486849765251e+25,0.25299769359730984,0.2545454545454545,2.658610323245927e+26
Lasso,Poisson Regression,0.1,3.9945658228776105e+28,19056294171071.15,0.28484140316205536,0.2818181818181818,198953552069928.75
Lasso,Poisson Regression,0.5,1.380803444491515e+21,3542987242.111978,0.27683357909760103,0.2727272727272727,36989872748.07181
Lasso,Poisson Regression,1.0,2.09094775119612e+17,43598872.958271384,0.2856709438886472,0.2818181818181818,455185581.5993146
Lasso,Poisson Regression,5.0,62090339.44771576,752.5271791297364,0.2892792058339428,0.2818181818181818,7844.035831184413
Lasso,Poisson Regression,10.0,44368.18192341167,21.216099254195946,0.2617750324373905,0.2636363636363636,209.87104173687138
