Model,Mean No StratKFold,Mean StratKFold,Mean Difference,T-Statistic,P-Value,N pairs
Decision Tree,0.3997121455,0.3947329149,-0.004979230599999998,-0.44567775410849786,0.6608668496302053,20
Poisson Regression,0.5935753946,0.5900204008,-0.0035549937999999975,-2.0678620598706776,0.052545184493565725,20
Random Forest,0.6331664021999999,0.6340541184000001,0.0008877162000000077,0.05270728246530252,0.9585153624836285,20
All Models,0.5421513141000001,0.5396024780333334,-0.0025488360666666627,-0.3830702106535302,0.7030444491688222,60
