0
CD38
CYTH3
ELN
HHAT
IPO5
OAT
ASNS
MOCOS
PAK3
LYRM2
DIS3
COQ9
USP48
NTSR1
KLHL4
TAF7L
SLC17A7
TRIM14
P2RX1
ACSS3
CDCA3
SRSF9
C6orf62
SLC12A7
ROPN1B
ARHGEF26
CYP20A1
PPP1R3C
SOHLH2
NCAPH
CEP89
ZNF639
CIT
IL9R
NRSN2
PLEKHG3
METTL16
GAD1
SAT1
GSTT2B
CYP27A1
VILL
VPS36
C11orf1
FRAS1
CDH24
ZNF750
EFNA3
UCN2
IGSF1
ZNF7
PLIN2
BTBD11
XDH
CD1A
PTGIR
DFFA
PLXDC1
SPSB3
CCDC27
AGL
VANGL2
AXDND1
HEYL
HTR4
FAM219A
NKX6-3
PRTG
RRM1
NXN
GLOD4
SPRY3
SCG2
HSPA6
CHST1
CDC26
FOXS1
MAP6D1
F2R
LHFPL6
METTL7A
C6orf201
GLDN
C5orf52
B3GLCT
PPP3R2
KIR2DL4
MAOA
MMP1
UAP1L1
GK
C1orf146
PKHD1L1
DNAJC9
RNF103-CHMP3
SLC5A8
MAP1LC3B2
AC090004.1
NBPF14
FP565260.1
RDM1
