dimension_reduction_type,model,alpha,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,prediction_std
PCA,Poisson Regression,0.0,2.298562400481113,1.2138327547444248,0.3229443460088138,0.32727272727272727,1.3547393835766228
PCA,Poisson Regression,0.001,2.3977342234706125,1.2296286813479245,0.3229443460088138,0.32727272727272727,1.4240602582491317
PCA,Poisson Regression,0.01,2.3288077190085694,1.2176776705617922,0.3213112821579641,0.32727272727272727,1.3875384087694096
PCA,Poisson Regression,0.1,2.1542915542774503,1.1811632818718167,0.3213112821579641,0.32727272727272727,1.2846137460443678
PCA,Poisson Regression,0.5,1.8886173644765543,1.1136437656625404,0.29775329259335853,0.3090909090909091,1.0630997988439654
PCA,Poisson Regression,1.0,1.786981437282468,1.0822175464653485,0.2862948757835614,0.3,0.8989676336465129
PCA,Poisson Regression,5.0,1.891214098232325,1.1589535480427235,0.11537965101563734,0.20909090909090908,0.4268928177607161
PCA,Poisson Regression,10.0,2.053756045136986,1.2111703672699414,0.07768847006651886,0.2,0.2600620547459146
