Model,Mean No SMOTE,Mean SMOTE,Mean Difference,T-Statistic,P-Value,N pairs
Decision Tree,0.3588388282142857,0.3810521166428571,0.022213288428571426,0.8920927079491955,0.38855768431549986,14
Linear Regression,0.5624307497142856,0.5564498054285714,-0.005980944285714281,-0.39163605344848645,0.7088582080552891,7
Naive Model,-0.04946980728571428,0.02947592628571428,0.07894573357142856,1.66147711729735,0.1476821057829589,7
Poisson Regression,0.5841422331428571,0.5738048856428571,-0.010337347500000002,-0.7399308172354407,0.47249379142899994,14
Random Forest,0.5874102882142858,0.6257253797142857,0.03831509149999999,1.9136432673743584,0.07794122605447315,14
All Models,0.4467179551964286,0.46838631196428576,0.021668356767857135,1.970359097297082,0.05383962288711329,56
