dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
PCA (n_components=50),Gradient Boosting,50,3,0.1,1.218451863855708,0.9211740426419213,0.43275879159889086,0.6733114983145255,0.8090909090909091
PCA (n_components=50),Gradient Boosting,50,5,0.05,1.2741939131393722,0.9838199065504695,0.3796710173290835,0.6297310482620104,0.7545454545454545
PCA (n_components=50),Gradient Boosting,50,5,0.1,1.2618796169804456,0.9773263514301476,0.39160327039743403,0.6132200885034347,0.7454545454545455
PCA (n_components=50),Gradient Boosting,100,2,0.05,1.261245395941385,0.9872157823152964,0.3922146774360281,0.6460206938434254,0.7545454545454545
PCA (n_components=50),Gradient Boosting,100,2,0.1,1.273383102464101,0.9751288219380713,0.38046023681653063,0.6359140130864308,0.7454545454545455
PCA (n_components=50),Gradient Boosting,100,3,0.05,1.2413041701130307,0.9436841729551724,0.4112818176401529,0.657768788081027,0.8
PCA (n_components=50),Gradient Boosting,100,3,0.1,1.2329776010434468,0.9275419648514265,0.4191534765049191,0.6690050932839448,0.7909090909090909
PCA (n_components=50),Gradient Boosting,100,5,0.05,1.2655722899389923,0.9584437083590943,0.3880373243599975,0.636909926883653,0.7727272727272727
PCA (n_components=50),Gradient Boosting,100,5,0.1,1.259099131557349,0.973102218978594,0.3942814569651555,0.6143128272531646,0.7454545454545455
PCA (n_components=50),Gradient Boosting,200,2,0.05,1.2443333541442734,0.9560131620897739,0.408404985807735,0.6540248899173957,0.7727272727272727
PCA (n_components=50),Gradient Boosting,200,2,0.1,1.2621608235862571,0.9563677712904899,0.3913320809115898,0.6470304397767201,0.7636363636363637
PCA (n_components=50),Gradient Boosting,200,3,0.05,1.246508611331564,0.9467233961817777,0.4063348072469196,0.660304679694324,0.8181818181818182
PCA (n_components=50),Gradient Boosting,200,3,0.1,1.2291694039316723,0.9266191153939299,0.4227359618208,0.6769401286775524,0.8090909090909091
PCA (n_components=50),Gradient Boosting,200,5,0.05,1.2571945398444246,0.9461802720585671,0.3961125661284828,0.641483753211636,0.7727272727272727
PCA (n_components=50),Gradient Boosting,200,5,0.1,1.254684398235085,0.9681760297039542,0.39852162796387947,0.6222432519347479,0.7454545454545455
