dimension_reduction_type,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Lasso (alpha=1.0, top-100)",Linear Regression,2.1988873472527883,1.0961887597447761,0.31831622325043374,0.2909090909090909
"Ridge (alpha=1.0, top-100)",Linear Regression,1.8314416783915795,1.0598201918468713,0.34139681631282975,0.32727272727272727
PCA (n_components=50),Linear Regression,2.3592033084059416,1.167266877389527,0.28840584835065924,0.2818181818181818
