dimension_reduction_type,model,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Linear Regression,1.3569675204192364,1.0687573766524332,0.29645816720388896,0.5895763572434582,0.7181818181818181
"Ridge (alpha=1.0, top-100)",Linear Regression,1.4587767127647397,1.12700131330127,0.18692863929309833,0.5366730474780584,0.7181818181818181
PCA (n_components=50),Linear Regression,1.1496776827149682,0.881097923115499,0.4949862273198524,0.714365278177792,0.8181818181818182
"Lasso→PCA (top-100, 95%var)",Linear Regression,1.3610911115472095,1.0564341117133982,0.2921757848815214,0.5616308316649252,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",Linear Regression,1.3842713172159036,1.095468735027666,0.26786113663309563,0.5631385344968309,0.7454545454545455
