dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,2,1.824081337899362,1.3636363636363635,-0.2913779830638952,0.40924032479723715,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,5,1.747599363513713,1.3219696969696972,-0.18535581145040325,0.39198658903404543,0.5818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,10,1.7559326280266112,1.3219624819624822,-0.1966872809031992,0.40351366746616213,0.5909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,2,1.8315418244051798,1.3909090909090909,-0.30196304849884514,0.39058090731932027,0.5818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,5,1.7909882436489886,1.3643939393939395,-0.244945809454566,0.3920322548297663,0.5454545454545454
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,10,1.7666300613081074,1.3376190476190477,-0.21131253077885526,0.39209731324502817,0.5818181818181818
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,2,1.791393566219023,1.3363636363636364,-0.24550936617911212,0.4199798092267922,0.6181818181818182
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,5,1.8211717839530315,1.3621212121212123,-0.2872615687280815,0.3869923957885859,0.5545454545454546
"Lasso->PCA (top-100, 95%var) + SMOTE",Decision Tree,,10,1.7910933262282427,1.3605988455988456,-0.24509190304843909,0.3952398966331324,0.5727272727272728
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,2,1.7644763875207783,1.35003205428902,-0.20836094295715757,0.3846951079209779,0.6181818181818182
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,5,1.675357120185274,1.2526078118647774,-0.08938093116119705,0.4202550893340521,0.6272727272727273
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,10.0,10,1.6036878857510901,1.181843021099987,0.001829628485113588,0.4419344817157709,0.7
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,2,1.5255401427929476,1.0727272727272728,0.09674108288426997,0.5255728170405627,0.6727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,5,1.557383035477117,1.1325757575757576,0.05863974781170711,0.5038011618589051,0.6636363636363637
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,20.0,10,1.542022123579625,1.1081998556998556,0.07711797606270565,0.5098176386882074,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,2,1.796461167760864,1.3,-0.2525660764690787,0.36657261028945654,0.6363636363636364
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,5,1.704939348428026,1.2212121212121212,-0.12819155760841672,0.4010568793052421,0.6727272727272727
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,30.0,10,1.5495940343353234,1.1116089466089467,0.06803232543956117,0.4704588532928788,0.7090909090909091
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,2,1.7425164665975574,1.2545454545454546,-0.1784706184244289,0.40442435262871695,0.6181818181818182
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,5,1.6528212794546728,1.1954545454545455,-0.060270721067487765,0.43335736573965117,0.6545454545454545
"Ridge->PCA (top-100, 95%var) + SMOTE",Decision Tree,,10,1.63680050697777,1.2089574314574314,-0.0398159605361974,0.4151833804093834,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.8963738538192596,1.4217779190506463,-0.37403861507267866,0.26044056224966,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.7537010369529258,1.3562184784912055,-0.17506566853447159,0.3438360303789394,0.6272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.833217080581105,1.4124813822541094,-0.2840407610238769,0.2815183586941148,0.6545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,2,1.7735429358926007,1.3454545454545455,-0.2018061827023272,0.30475135927275804,0.6181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,5,1.7547194659091248,1.371212121212121,-0.17643085948052972,0.34638410584211654,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,20.0,10,1.8517809713381406,1.4239862914862913,-0.3101778542518341,0.26340297319726547,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,2,1.747725795010606,1.3454545454545455,-0.16707189996526584,0.3093358640244929,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,5,1.7485383506335697,1.337121212121212,-0.16815734630079904,0.33732546771541805,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,30.0,10,1.745455588807444,1.360854978354978,-0.16404193600175598,0.3257520411131647,0.6363636363636364
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,2,1.8065537256434872,1.3909090909090909,-0.24696075026050712,0.2845481708694888,0.6181818181818182
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,5,1.7755352017139094,1.3515151515151513,-0.20450773802632116,0.2905288145012125,0.6454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Decision Tree,,10,1.7156878822993527,1.3305519480519477,-0.12467641556641951,0.34112338728847685,0.6636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,2,1.5809510376004763,1.1985597275160165,0.045034108503290926,0.49775097298349047,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,5,1.5387789076811416,1.1546203335766225,0.09530233435331581,0.5295034674311478,0.6909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Decision Tree,10.0,10,1.5155514558780192,1.1391044605607497,0.12240853179736633,0.5369077203517619,0.6636363636363637
