dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.1656175733870904,0.9641206119020073,0.4726764703167632,0.7067857376678308,0.8363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.0787334920949172,0.8507180277532722,0.5483590595873664,0.7321963281736491,0.8909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.100071661441427,0.9027796540792229,0.5303147392318236,0.7459407697122378,0.8727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.0632152967297774,0.8394999909044302,0.5612598189914588,0.7362697816135132,0.8545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.1316114232140504,0.9049219898479205,0.5029962984636517,0.7078479760931922,0.8454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.1119132545640251,0.8634074477850182,0.5201485714437559,0.7148171838491499,0.8545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.0863405755404218,0.8670693222182617,0.5419667777331123,0.7278827164810947,0.9
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.0453734508178214,0.7976169198298206,0.5758612912091161,0.7574267999899497,0.8727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.0419421160692346,0.8140313540587019,0.5786411080257283,0.7524250425348785,0.8818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.1,1.0694932134222288,0.8235623810430558,0.5560633058753504,0.7307553786575068,0.8636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.05,1.1020935280135604,0.8597222420278862,0.5285866452296173,0.7202623103861111,0.8636363636363636
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.1,1.1061766248848477,0.8560159654780377,0.5250871382523814,0.7168077262897183,0.8454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.05,1.0497600975992685,0.8080364481284,0.5722942399156188,0.752000147164734,0.8818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.1,1.0777738026644936,0.8090295728013502,0.5491623019794207,0.7342561470332629,0.8727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.05,1.0370891656728631,0.7838952676578606,0.5825570103788803,0.7533163991265949,0.9
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.0878738870911182,0.8300658682683314,0.5406728865153213,0.7207795743149826,0.8545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.1023476138012893,0.8547168315841505,0.5283692530790962,0.7163227913564013,0.8727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.1114275658921324,0.8599104319432226,0.5205676823799905,0.7123417064752645,0.8727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.1814388762551202,0.9744362345907145,0.458264254498453,0.6984256482335283,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.101514165977887,0.8831656491848071,0.5290821516556159,0.7208627060178371,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.1363139059503533,0.9246538173716704,0.4988570553130808,0.7260076347389351,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.0751053815158211,0.8513612478429028,0.5513919638661863,0.7491875245514946,0.8454545454545455
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.159978941592531,0.9141947407382531,0.47776594644112924,0.6809918176432953,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.1819615932193681,0.9135826693037049,0.4577847762723708,0.6492678361484815,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.0962399116843904,0.8867855914277085,0.5335810391957089,0.7251116597192826,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.0738188601067569,0.8396683995493264,0.5524649722131193,0.7307369049457614,0.8545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.077270254762136,0.8372977450531967,0.5495834763368342,0.7372165593404657,0.8636363636363636
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.1,1.104665796628821,0.8619485841984487,0.5263835347984602,0.7134732213196712,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.05,1.1339146199297954,0.8656153001793782,0.5009711117521349,0.7015807693835603,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.1,1.1878906488201217,0.9130033287476454,0.4523313208234889,0.6471064118742679,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.05,1.0727947111832359,0.8455784240664292,0.5533182333414505,0.7338081595234366,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.1,1.128178101701056,0.8556042470337394,0.5060075528352144,0.7083144373147641,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.05,1.0985294371630259,0.8386075685660969,0.531630748518221,0.7190014795594866,0.8363636363636363
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.142387343818942,0.8723294692949568,0.4934856619148018,0.693784863026995,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.1318473471766164,0.8550512876734773,0.5027890412670002,0.7049476033491622,0.8181818181818182
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.189041420204988,0.9115038006217953,0.45126969664314076,0.6454068303936896,0.8
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.05,1.1001281311452096,0.8942880142604653,0.5302665175218655,0.7789389796624026,0.8272727272727273
PCA (n_components=50) + SMOTE,Gradient Boosting,50,2,0.1,1.0378003921087304,0.8227867639948659,0.5819842567449796,0.785880934505825,0.8818181818181818
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.05,1.0491042642319879,0.8371209074276265,0.5728284878598968,0.7823865481615262,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,50,3,0.1,1.0444797068659906,0.7903346552923776,0.5765862175242535,0.7643082576151167,0.8818181818181818
PCA (n_components=50) + SMOTE,Gradient Boosting,50,5,0.05,1.0635667707369056,0.8225628972675473,0.5609696966458066,0.7667837349890023,0.8818181818181818
PCA (n_components=50) + SMOTE,Gradient Boosting,50,5,0.1,1.0571267230502375,0.8070523645566942,0.5662703812579581,0.7623916100215299,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,100,2,0.05,1.0271580952176953,0.8163261609161675,0.5905135230269422,0.7908087971139145,0.8818181818181818
PCA (n_components=50) + SMOTE,Gradient Boosting,100,2,0.1,1.0280245411439235,0.7934434112524112,0.5898223976119609,0.7795305960933387,0.8636363636363636
PCA (n_components=50) + SMOTE,Gradient Boosting,100,3,0.05,1.0518514416818046,0.794147496072238,0.5705883817695055,0.7608582919466604,0.9
PCA (n_components=50) + SMOTE,Gradient Boosting,100,3,0.1,1.0596623559102656,0.7919120751713151,0.5641871910042064,0.7524712268142422,0.9
PCA (n_components=50) + SMOTE,Gradient Boosting,100,5,0.05,1.0686838261310252,0.7967348064114111,0.5567349899014635,0.758960118064819,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,100,5,0.1,1.0707398887717612,0.8114302941876731,0.5550277359563685,0.7550714017424092,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,200,2,0.05,1.0094819944017295,0.7883513717772216,0.6044857533372578,0.788531912141292,0.8636363636363636
PCA (n_components=50) + SMOTE,Gradient Boosting,200,2,0.1,1.0226353008183644,0.7725175296184693,0.5941116949702852,0.782107678881824,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,200,3,0.05,1.053477596491542,0.7833162455110075,0.5692596208510998,0.7551960992966907,0.8909090909090909
PCA (n_components=50) + SMOTE,Gradient Boosting,200,3,0.1,1.061187634305444,0.7859886280175595,0.5629316698115956,0.751792317907598,0.8818181818181818
PCA (n_components=50) + SMOTE,Gradient Boosting,200,5,0.05,1.0678122658307225,0.7881927819044884,0.5574577006604967,0.7626640972697747,0.8727272727272727
PCA (n_components=50) + SMOTE,Gradient Boosting,200,5,0.1,1.076512754350772,0.8136437862963222,0.5502166892998905,0.753371820261831,0.8727272727272727
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.05,1.2790320890941538,1.0414955642005632,0.36506706031293557,0.6222361774370029,0.7
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.1,1.211920878604145,0.967275832842028,0.4299492618180851,0.6390010708459671,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.05,1.2205426863774658,0.9780280526319737,0.42180953822936873,0.6494525732659355,0.7090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.1,1.1664979196508674,0.9096999623824099,0.47187963503167185,0.6562231886206301,0.8090909090909091
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.05,1.243170997898154,1.0035430670312686,0.40017202421148923,0.607692747865425,0.7272727272727273
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.1,1.2561807331331862,1.0140322196801472,0.38755198181390005,0.6168649457470236,0.7363636363636363
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.05,1.2082182082593744,0.9633101901777226,0.4334271879294693,0.6495541786805353,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.1,1.1776965987456487,0.9220744566932495,0.46169077905329303,0.656260136044121,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.05,1.1729626823518886,0.9075354885574471,0.4660096999069585,0.6629891855473883,0.8
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.1,1.1646691659213084,0.8788723369626928,0.4735342372601098,0.6717503433426514,0.8363636363636363
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.05,1.2280869231411304,0.9720367769489642,0.41463979860912203,0.6184028822498294,0.7454545454545455
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.1,1.2587320025796642,1.0065876518121264,0.3850617244915844,0.6143617578055198,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.05,1.1860380131471182,0.9252433408403129,0.4540382781491351,0.6559322276606399,0.7909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.1,1.1892436355475924,0.9110062762569704,0.4510830401990473,0.6510874967554048,0.7818181818181819
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.05,1.168898444380852,0.8772097547371865,0.46970377095716875,0.666078913836809,0.7909090909090909
"Lasso->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.1,1.1687969794044548,0.8793329984320334,0.46979583055278973,0.6695473532170106,0.8454545454545455
