dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4533645575297232,1.2239691094306724,0.1801883083554281,0.6131794402538133,0.5909090909090909
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.1688407027526686,0.9879457634664337,0.46975616115674357,0.7176898460255622,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.1688407027526686,0.9879457634664337,0.46975616115674357,0.7176898460255622,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.182246429590977,0.977295756332175,0.45752341206712177,0.685323903047595,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.182246429590977,0.977295756332175,0.45752341206712177,0.685323903047595,0.8545454545454545
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.3588792430724947,1.1267479634617226,0.29447444356422214,0.6077241197706165,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.3588792430724947,1.1267479634617226,0.29447444356422214,0.6077241197706165,0.6727272727272727
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.1963360487346086,0.9763114003362574,0.45316362082246286,0.6811865944518188,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.1963360487346086,0.9763114003362574,0.45316362082246286,0.6811865944518188,0.8
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.2274268617001896,0.9921555218562204,0.4243715279939235,0.6572708311824159,0.7818181818181819
"Lasso (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.2274268617001896,0.9921555218562204,0.4243715279939235,0.6572708311824159,0.7818181818181819
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,scale,1.313613531094748,1.0647693573093753,0.34069518583440994,0.6612590970833284,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),0.1,auto,1.313613531094748,1.0647693573093753,0.34069518583440994,0.6612590970833284,0.6727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,scale,1.1344625187768551,0.9059765197550343,0.5082647700033069,0.7097176804574222,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),1.0,auto,1.1344625187768551,0.9059765197550343,0.5082647700033069,0.7097176804574222,0.8272727272727273
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,scale,1.173365440250391,0.9331006068204954,0.47396140951323595,0.6701301070178439,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",SVR (rbf),10.0,auto,1.173365440250391,0.9331006068204954,0.47396140951323595,0.6701301070178439,0.7909090909090909
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,scale,1.4258198611686261,1.1745653856160805,0.22325164843584144,0.6117584927917707,0.6545454545454545
PCA (n_components=50) + SMOTE,SVR (rbf),0.1,auto,1.4258198611686264,1.1745653856160805,0.22325164843584122,0.6117584927917707,0.6545454545454545
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,scale,1.1749468363461468,0.9094867326806786,0.47254252342348,0.6814909014454145,0.7909090909090909
PCA (n_components=50) + SMOTE,SVR (rbf),1.0,auto,1.1749468363461477,0.909486732680679,0.47254252342347913,0.6814909014454145,0.7909090909090909
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,scale,1.2205132892835693,0.9310192355178023,0.43083780540132766,0.6499167455038546,0.8
PCA (n_components=50) + SMOTE,SVR (rbf),10.0,auto,1.2205132892835688,0.9310192355178014,0.430837805401328,0.6499167455038546,0.8
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,scale,1.4891273550663264,1.2194066188469272,0.15274390150485695,0.5447694577925122,0.5727272727272728
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),0.1,auto,1.4891273550663264,1.2194066188469275,0.15274390150485695,0.5447694577925122,0.5727272727272728
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,scale,1.2777904034146876,1.049457439960095,0.3761642422492055,0.6193799997677344,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),1.0,auto,1.2777904034146872,1.0494574399600949,0.37616424224920597,0.6193799997677344,0.7545454545454545
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,scale,1.2962268564420971,1.049174120334504,0.35803248707956337,0.5980231816717494,0.7181818181818181
"Lasso->PCA (top-100, 95%var) + SMOTE",SVR (rbf),10.0,auto,1.296226856442096,1.0491741203345029,0.35803248707956437,0.5980231816717494,0.7181818181818181
