feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
3.7721985954854533,-3.239326189015587,0.055353372065800655,-1.9685685051802717,0.9158823159035309,0.20906187963733625,-0.08921437880871153,0.0407151934041951,0.3881603701021975,-0.4099344524426298,-0.4704794631099742,3.0
1.6569120730360947,-3.282143610853265,2.3787746987749085,-0.5082074471808956,-0.0417873071291703,1.8978721666847396,3.40589642372296,-0.7919910074957753,-0.5933387516229944,0.37679493744157505,-0.47319286195331134,3.0
2.2310304109180494,0.11782815726231477,2.9924309666142612,-1.0640794203554589,-0.5730860974693639,1.7910138477727924,-0.16851248610211808,0.19213705807248635,-0.704726467641618,-0.16623217615697872,0.5125861331022425,5.0
2.4250674408133723,2.4632535493929697,-2.057453054995571,1.0161966784455974,-1.2019550803069372,0.06441176857057698,-1.235595940972073,-0.1573953512473979,0.7522985023762677,-0.5476458675067597,-0.37132905983028935,0.0
0.44892278640862443,2.3907489437627896,-2.2168109251023402,-1.6036743483221971,-1.6851598127303704,0.11189976797726867,-0.40548281625190147,-0.7066623511951863,0.21705761706636642,-0.5511794545509722,-0.41980208384749057,2.0
-6.69894161983216,0.6675687814192196,-3.428137446392218,1.0193697534642996,-2.027165513208496,-0.9928283868417915,-0.054361648519655165,0.6761133122606405,-1.0623379348635746,-0.5939203469984892,-0.6508617171174018,2.0
-1.1517495554116635,1.7795058663906522,-0.35744846684741616,1.2248516462573014,0.5307835607988349,-1.0491190911243127,0.10173317494411983,0.9604456246713495,-1.4529910608735896,0.11792450977390995,0.5480507728156744,3.0
3.284664277550565,-3.3506170536434086,1.6551251511334995,1.2211272997940115,-0.42600437375713596,-0.32362446604663864,-0.1727674613181205,-0.12780348703818237,-0.4364261434227996,-0.5371179415281911,-0.32376592294419193,2.0
2.952418952042941,-1.4551016484961203,0.47326110797389315,0.1975673359736741,0.37442924558859186,-1.614156734267173,-0.4200519308487911,0.28093255449168886,-0.028163852279273448,-0.5362943516936266,-0.4822045831796767,4.0
4.278418023657401,1.6707775072401063,-1.8961234213229423,0.4009575610496959,2.022005945535042,-1.117671380260779,-0.43908036035277703,-0.6813547546788193,-0.0751878266843707,-0.37917021084282276,-0.5568707202289177,1.0
1.646010947004831,1.5100237101292149,0.7514480788806144,2.802307340333199,-0.8995354307669287,-0.12301880429600434,0.21893347220829934,-0.5800963680334532,0.0051245645411553,0.0035509416126674057,-0.1261888745921416,3.0
3.5668178556233463,-6.630890176676231,2.136062051503954,0.22762134610484597,0.9150682511403267,-0.12110914825702901,1.8241477030610762,0.2261621896481458,-1.0362514849158169,-0.0517176539998753,-0.022201356949341316,3.0
0.5551246135533753,0.43377020780598674,-1.4774039443967357,-1.1683049823929523,-1.2351278054606822,1.5218665516564747,0.536954164894036,0.03394188021150822,0.35907077503193263,0.06861747894161031,0.49668623362283604,3.0
2.582430464581886,-0.3541551784772996,2.556035153918565,0.058656526336417956,-0.03666720585243417,1.7152009912164587,-0.868615531021791,0.07015351869261496,0.8132892732491944,-0.5742656478842697,-0.1446681193482001,2.0
3.812757485873326,1.1828617907633416,0.3212110766770927,-0.5059704792106565,0.8477259405701474,-0.8665267774932132,0.5162517307575093,1.383177390819776,0.11742716675729828,0.21124949999190093,0.32513549566428235,2.0
-5.471921058204758,-0.9910789410935152,-0.9157982638290373,-0.8566039479141481,-1.1208009429845478,-0.5535982310757249,-0.6764570470442923,-0.6552081569248026,0.24034855686487183,-0.11540241934802403,0.0881680107882825,2.0
-0.7223497796732408,3.4317758559262144,-3.647541068279529,2.9676168068252546,3.0265929295787326,-1.2880746089527826,1.6849490774445095,0.9510122195580288,-0.6363193704382115,0.005310698441632772,-0.5798714400997285,2.0
0.8416828260514068,-0.10796753686298503,-1.5904242080474829,-0.06186023161813157,-2.866048730507731,2.4001391785617727,1.0341455165730036,-0.8391943592342244,-0.09693952345528233,-0.22242539352522328,-0.08939225082980583,2.0
1.4847712084701763,4.727527109657545,-1.9331766317446635,-1.2900277535116271,0.837296482041871,-0.347519312552605,-0.22751974101798705,-0.29298262737119546,-0.5770183269061641,0.2131567216550681,0.41181871390670655,3.0
-3.5205285747285675,0.9585497674093494,-5.119587865612123,4.274577419894823,1.6162736752247644,2.710885871664967,0.3932021218758507,-0.5071826753018672,1.541618959364323,-0.35538606826603536,-0.6713198858156503,1.0
4.782563624490124,-0.37741212363647225,-0.13724547348691765,0.02077845660323113,-2.3162803976540705,-1.0281129457138314,0.03864188013219788,0.4199712005261631,-0.10546435229517469,-0.36199821524740905,-0.05984359313582599,3.0
2.483723107066014,5.097617942451037,-3.076583115390834,0.3553249595254315,1.441510545760158,-0.5725734194027293,0.07577664547930603,-0.28353546058845375,-0.0837310553419611,-0.17694637147145856,-0.26686291563212977,0.0
-3.3302140502930926,-4.198854757110741,1.0169641772944005,-0.053575287327226224,2.6275464738187537,0.41217058052253996,0.11782821183138757,0.1473119469298049,-0.3844271773103233,-0.3830487082532224,0.40883979827731615,4.0
