feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,target
8.2279,90.0128,80.3354,195.0889,85.215,45.764,10.6754,0.3785,104.7075,75.5625,51.5997,3.1683,42.5968,183.815,130.1183,1.4687,1.1441,47.9765,95.5763,97.9736,31.4624,11.6827,109.2658,16.1491,8.3573,34.1685,69.5634,53.9703,123.1801,382.1759,54.7016,75.128,6.4114,59.2463,231.9428,11.5222,24.1169,77.2759,60.8411,491.2994,402.3212,400.0569,190.6005,32.4947,37.6554,113.1393,29.0511,164.1027,137.4735,41.7932,91.6744,141.6284,31.1652,666.8522,439.6421,51.3599,1.0835,63.0335,166.8788,401.0032,7.5744,28.8346,130.8487,20.887,63.1915,113.399,173.9326,368.6445,42.7646,191.5394,175.5624,56.0942,330.5582,149.3124,107.8059,228.2316,87.0345,0.6723,0.8134,115.9214,12.0358,43.2221,238.6076,162.3637,178.4522,44.0121,64.282,195.4086,168.469,408.9273,176.4181,118.4253,143.5092,74.6563,140.5263,283.5787,5.0943,144.7398,0.2819,136.6008,3.0
6.618,155.1714,200.2691,49.8579,294.3058,34.9185,85.559,2.7575,36.537,91.6157,18.9444,59.9529,26.3556,263.5208,143.8914,5.5618,31.7894,79.2319,610.0092,179.4513,20.5973,166.0605,3.4561,66.7399,40.0501,53.6911,151.1816,71.5355,262.5801,559.9546,55.8643,62.1613,10.7201,80.9242,422.8208,29.2513,25.2002,115.6683,83.7214,582.0529,671.2897,772.9835,398.8418,48.1475,87.4758,71.4207,45.17,208.1482,242.3667,68.0147,234.9756,243.243,60.2428,1090.5493,409.6386,77.7357,5.7147,154.7944,230.9047,670.8397,9.6108,67.7042,98.2306,29.678,137.4344,295.1595,107.5021,501.438,41.3953,259.2978,160.8636,3.6062,455.2203,160.3774,209.7095,288.314,115.7374,7.9157,260.8138,181.0145,15.1754,124.463,490.3113,330.34,235.4681,54.754,13.4254,364.333,251.9053,636.0119,49.2732,239.9528,182.9726,114.114,79.4637,350.7764,4.594,327.9875,51.9485,149.5145,3.0
1.3169,113.9617,29.3074,115.8722,196.3749,62.0441,6.661,10.3665,6.0076,87.9424,24.3736,4.8811,42.3257,145.1722,82.8169,9.3627,1.0462,35.9341,64.8457,123.5111,109.5141,2.375,3.2845,25.2772,9.5055,184.5816,89.4961,61.5073,169.4388,720.3136,25.4528,105.7732,26.6413,142.2924,204.4319,9.1599,93.4192,390.4053,85.2146,246.8901,214.6559,267.5797,560.3372,58.6956,54.0291,11.556,96.9984,150.7941,201.7159,18.7582,96.7054,176.132,47.6587,205.2662,220.7577,77.8111,231.1437,31.9489,99.8858,193.7486,6.0477,33.484,197.6536,36.9326,161.997,133.0225,60.9043,185.2647,70.5326,184.0823,61.5299,10.069,144.7738,477.5992,129.7009,184.0768,64.8694,2.3137,1.249,129.7876,48.692,27.1687,270.8003,73.7457,125.441,43.8568,59.6418,66.6325,577.124,221.1196,30.6051,118.7929,138.0321,177.8891,236.1522,35.9922,50.3345,110.4722,7.7767,138.4488,3.0
11.1031,55.0091,46.2316,174.2468,30.461,49.7748,10.0617,0.2665,12.7138,78.4822,83.6802,5.0183,55.756,155.3498,70.7733,15.5541,1.6675,115.4353,166.4673,105.7802,18.7022,11.1032,1.5964,41.6807,20.9258,128.1901,57.8845,40.8714,238.2578,623.4657,68.4682,98.6755,23.8034,90.6642,117.0812,30.9187,73.1729,99.154,83.0379,255.0461,256.9513,199.7767,202.5992,62.4566,52.3415,13.8644,46.048,84.0925,241.7047,46.779,91.8564,130.8651,65.045,225.9971,187.8595,213.6665,1.1319,70.4525,136.2069,219.0857,16.5656,39.2023,174.4885,31.3481,169.2406,107.2133,127.7592,221.7724,62.6962,210.1016,190.7612,73.8259,158.4408,501.6448,113.426,154.6436,72.6879,0.6401,6.4231,139.1536,21.9452,26.5509,207.2962,57.1652,199.0229,67.8406,341.8925,48.8043,211.1841,207.6509,39.4588,59.0763,79.1719,164.2574,94.7858,54.713,1.4218,71.145,0.1097,188.917,2.0
10.5215,83.3638,111.2292,89.4093,79.6605,58.5089,18.2019,10.0928,36.5138,105.1196,31.6676,454.9304,54.5431,160.5389,65.4089,13.1078,14.6217,113.7399,197.5923,97.4345,24.1552,6.3045,0.9584,22.9513,20.7838,33.5369,52.1165,34.1904,240.809,450.8443,117.134,90.5436,19.9854,60.6549,278.7198,53.0532,20.428,151.0028,71.6341,378.1644,304.8916,400.0765,288.0849,49.3808,52.1223,56.8629,52.455,168.9771,176.1289,56.4309,108.521,149.3308,52.8133,414.5533,219.738,45.7633,5.7746,87.368,140.2729,317.6389,35.8775,26.201,103.3636,41.2838,68.738,162.2516,106.9995,294.7674,68.2704,234.957,247.3726,18.8158,243.3646,189.3043,96.3754,228.6732,109.1124,4.7582,13.1362,154.7593,34.7399,25.9314,314.1448,117.3064,115.6787,86.4252,16.5408,165.8375,242.6222,259.4924,41.853,105.4077,181.9721,73.4873,112.0367,91.4244,5.534,155.7394,451.1289,178.4858,2.0
0.6441,68.0976,12.7287,55.3459,23.3643,75.5703,5.6873,0.0378,0.6744,83.7659,32.1181,3.0863,50.1316,117.4919,35.3463,3.746,0.2548,39.1018,58.9057,83.6373,133.435,17.9301,0.1517,2.7029,6.6398,13.6186,36.1164,46.1153,76.361,953.2027,14.2785,96.1644,28.7338,47.8318,122.283,2.7351,14.2084,243.6199,119.4085,348.611,234.9909,175.2374,462.9209,72.4695,29.9536,2.9289,90.5985,117.0169,383.3445,21.4126,87.3825,121.6344,2.4371,257.7129,166.1371,3.3673,73.6286,38.81,107.5527,238.2752,17.59,1.143,184.6043,56.941,49.2525,42.8884,54.6368,321.5621,50.1071,168.707,81.726,1.3436,192.2896,71.3393,169.4289,109.938,43.0579,3.0964,1.0197,188.2028,40.0968,26.0046,150.7714,74.1025,166.335,67.5631,17.1857,99.4296,461.4505,290.256,24.078,80.3731,81.6964,53.1774,185.4441,43.9396,23.8633,52.7053,5.7474,138.4138,2.0
3.1818,154.068,432.3883,143.97,128.657,47.9324,12.5715,0.4926,49.983,36.7582,26.1997,16.9481,38.1334,90.9744,87.4621,3.126,7.9292,187.9104,555.7438,51.7736,40.8288,6.9699,830.9057,11.161,48.333,104.7363,42.2444,45.9372,188.9163,419.6514,137.7573,54.1082,3.241,67.279,417.8233,27.8439,52.856,39.2648,83.1217,480.229,405.178,683.3002,95.3701,39.9986,16.2195,103.9691,45.8269,209.772,194.8216,124.0957,154.3398,336.0759,31.2452,329.8007,251.0917,82.4344,10.5393,194.8889,206.304,906.7789,20.3855,20.5454,91.72,16.9065,51.58,210.5017,75.5598,413.7926,97.6575,171.4963,295.2904,6.0811,279.0415,462.8822,118.1323,395.8732,94.0568,2.4186,0.2526,167.8845,17.6804,182.6172,352.8622,79.7294,167.7788,54.7447,40.4012,82.7949,67.3215,186.6405,17.4997,187.0737,118.0352,17.1842,21.5707,124.6287,5.1409,320.1269,0.4562,206.8141,2.0
3.0258,118.0517,32.1048,36.6879,32.7994,46.9526,5.6329,0.125,3.7089,100.7528,27.5471,3.4692,34.0828,155.8858,58.8093,6.1466,0.4234,23.6557,42.4557,52.9791,82.8747,3.7625,1.5763,8.13,21.9907,20.7405,98.3012,63.2583,102.6891,636.9675,18.8275,66.9627,17.318,84.6528,326.195,41.9838,14.8796,136.6714,113.5282,625.413,584.069,427.5996,322.9847,41.1991,36.6225,35.3227,43.767,205.1219,151.9,12.5316,116.008,142.9409,21.605,725.0618,210.9146,14.5171,6.8424,16.1749,245.1278,506.1247,5.644,39.9474,163.2474,12.5433,133.0795,126.7691,99.8766,500.1141,27.1003,200.3382,48.1776,3.1601,447.4723,101.467,131.1104,172.9252,90.7217,1.1025,10.9793,174.1637,13.964,115.0748,294.0093,171.2107,300.5508,13.3008,11.8598,295.0977,256.7726,479.5067,34.0993,146.0098,163.7141,51.8845,233.8395,28.2317,14.3696,95.8969,7.0011,111.429,2.0
11.2621,82.2252,51.1925,66.0482,75.7483,52.743,13.3397,1.7611,35.8072,69.3804,80.6923,5.3837,41.1654,159.3057,65.5281,4.2535,1.0609,68.4417,164.314,103.0762,16.9242,2.9235,4.173,21.0294,16.5093,20.2499,70.1596,48.3336,113.5059,572.4857,61.8841,103.667,16.9368,76.3081,217.005,51.0914,16.2562,157.7876,79.9407,301.1235,275.3363,282.8747,329.8966,12.2187,66.1328,78.2938,55.9215,150.2144,224.8237,37.9088,87.1932,126.1878,75.5438,306.9646,164.3123,24.6047,22.1216,27.9408,125.9541,235.8498,15.1698,33.994,149.9941,28.8805,175.7607,143.836,133.6083,215.8188,53.1839,215.3265,111.2425,36.8276,190.71,192.3452,116.4254,174.2565,109.6571,3.842,0.6666,117.1055,11.7669,24.2871,239.9076,98.6344,224.5946,44.5096,28.186,129.5584,275.0708,276.8858,57.9881,81.1104,164.5042,52.339,151.1644,96.2186,30.5346,108.4702,0.5458,123.826,3.0
7.0526,89.7878,61.7521,311.1707,37.4614,47.6729,57.3252,0.0,0.651,88.3486,33.1842,0.2977,41.2981,157.8062,130.137,8.2262,0.4171,57.6934,91.6345,112.8663,18.1097,9.7933,777.1306,15.4719,10.8329,86.5111,83.4277,67.0528,92.8644,489.1633,77.846,73.0599,14.1005,59.0266,305.686,29.1332,74.975,89.5127,93.4492,397.4872,381.359,385.9689,217.2401,22.2389,36.7755,38.328,9.9221,191.8824,191.1987,32.7093,129.1597,157.6227,0.1216,518.3453,534.3312,0.3004,0.8019,42.6022,171.3574,323.449,2.6371,107.0747,151.3721,31.7447,101.4459,138.0569,230.4759,298.8224,38.717,210.1387,247.9225,2.3097,282.7169,344.7561,101.1717,260.1556,83.9048,0.2112,0.3243,113.6281,23.4591,29.0916,284.2586,121.7797,166.1135,12.441,199.9128,163.6601,206.1231,354.759,55.5005,156.4312,162.5719,127.7505,112.1662,132.9381,6.6263,175.8928,0.071,151.5387,1.0
